step,epoch,batch,loss
1,1,1,0.16864
2,1,2,0.17596
3,1,3,0.16836
4,1,4,0.16147
5,1,5,0.15734
6,1,6,0.15084
7,1,7,0.14931
8,1,8,0.14926
9,1,9,0.14402
10,1,10,0.14205
11,1,11,0.13732
12,1,12,0.13341
13,1,13,0.12994
14,1,14,0.12666
15,1,15,0.12377
16,1,16,0.11993
17,1,17,0.11616
18,1,18,0.11342
19,1,19,0.11070
20,1,20,0.10771
21,1,21,0.10483
22,1,22,0.10202
23,1,23,0.09886
24,1,24,0.09586
25,1,25,0.09320
26,1,26,0.09099
27,1,27,0.08869
28,1,28,0.08624
29,1,29,0.08375
30,1,30,0.08151
31,1,31,0.07929
32,1,32,0.07710
33,1,33,0.07503
34,1,34,0.07317
35,1,35,0.07140
36,1,36,0.06972
37,1,37,0.06804
38,1,38,0.06643
39,1,39,0.06489
40,1,40,0.06346
41,1,41,0.06206
42,1,42,0.06074
43,1,43,0.05948
44,1,44,0.05830
45,1,45,0.05712
46,1,46,0.05607
47,1,47,0.05498
48,1,48,0.05399
49,1,49,0.05298
50,1,50,0.05206
51,1,51,0.05123
52,1,52,0.05037
53,1,53,0.04956
54,1,54,0.04876
55,1,55,0.04801
56,1,56,0.04724
57,1,57,0.04652
58,1,58,0.04581
59,1,59,0.04512
60,1,60,0.04448
61,1,61,0.04382
62,1,62,0.04320
63,1,63,0.04260
64,1,64,0.04201
65,1,65,0.04143
66,1,66,0.04087
67,1,67,0.04032
68,1,68,0.03978
69,1,69,0.03925
70,1,70,0.03875
71,1,71,0.03826
72,1,72,0.03776
73,1,73,0.03730
74,1,74,0.03682
75,1,75,0.03638
76,1,76,0.03595
77,1,77,0.03553
78,1,78,0.03512
79,1,79,0.03469
80,1,80,0.03429
81,1,81,0.03390
82,1,82,0.03354
83,1,83,0.03316
84,1,84,0.03279
85,1,85,0.03243
86,1,86,0.03208
87,1,87,0.03173
88,1,88,0.03139
89,1,89,0.03106
90,1,90,0.03073
91,1,91,0.03042
92,1,92,0.03011
93,1,93,0.02980
94,1,94,0.02950
95,1,95,0.02922
96,1,96,0.02893
97,1,97,0.02865
98,1,98,0.02838
99,1,99,0.02811
100,1,100,0.02784
101,1,101,0.02759
102,1,102,0.02732
103,1,103,0.02707
104,1,104,0.02682
105,1,105,0.02658
106,1,106,0.02634
107,1,107,0.02610
108,1,108,0.02587
109,1,109,0.02564
110,1,110,0.02542
111,1,111,0.02520
112,1,112,0.02498
113,1,113,0.02477
114,1,114,0.02456
115,1,115,0.02435
116,1,116,0.02415
117,1,117,0.02395
118,1,118,0.02376
119,1,119,0.02357
120,1,120,0.02338
121,1,121,0.02319
122,1,122,0.02301
123,1,123,0.02284
124,1,124,0.02265
125,1,125,0.02248
126,1,126,0.02231
127,1,127,0.02213
128,1,128,0.02197
129,1,129,0.02180
130,1,130,0.02163
131,1,131,0.02147
132,1,132,0.02131
133,1,133,0.02116
134,1,134,0.02101
135,1,135,0.02086
136,1,136,0.02071
137,1,137,0.02056
138,1,138,0.02042
139,1,139,0.02028
140,1,140,0.02014
141,1,141,0.02000
142,1,142,0.01986
143,1,143,0.01985
144,2,1,0.00096
145,2,2,0.00074
146,2,3,0.00118
147,2,4,0.00110
148,2,5,0.00097
149,2,6,0.00088
150,2,7,0.00084
151,2,8,0.00081
152,2,9,0.00078
153,2,10,0.00075
154,2,11,0.00073
155,2,12,0.00071
156,2,13,0.00070
157,2,14,0.00070
158,2,15,0.00067
159,2,16,0.00067
160,2,17,0.00069
161,2,18,0.00068
162,2,19,0.00066
163,2,20,0.00064
164,2,21,0.00063
165,2,22,0.00064
166,2,23,0.00063
167,2,24,0.00064
168,2,25,0.00063
169,2,26,0.00062
170,2,27,0.00061
171,2,28,0.00062
172,2,29,0.00062
173,2,30,0.00060
174,2,31,0.00064
175,2,32,0.00062
176,2,33,0.00062
177,2,34,0.00065
178,2,35,0.00066
179,2,36,0.00066
180,2,37,0.00065
181,2,38,0.00064
182,2,39,0.00064
183,2,40,0.00065
184,2,41,0.00064
185,2,42,0.00063
186,2,43,0.00063
187,2,44,0.00062
188,2,45,0.00063
189,2,46,0.00064
190,2,47,0.00064
191,2,48,0.00063
192,2,49,0.00063
193,2,50,0.00062
194,2,51,0.00064
195,2,52,0.00064
196,2,53,0.00063
197,2,54,0.00064
198,2,55,0.00064
199,2,56,0.00064
200,2,57,0.00064
201,2,58,0.00063
202,2,59,0.00064
203,2,60,0.00064
204,2,61,0.00064
205,2,62,0.00063
206,2,63,0.00063
207,2,64,0.00063
208,2,65,0.00062
209,2,66,0.00063
210,2,67,0.00063
211,2,68,0.00064
212,2,69,0.00064
213,2,70,0.00063
214,2,71,0.00063
215,2,72,0.00062
216,2,73,0.00062
217,2,74,0.00062
218,2,75,0.00061
219,2,76,0.00061
220,2,77,0.00061
221,2,78,0.00061
222,2,79,0.00061
223,2,80,0.00060
224,2,81,0.00060
225,2,82,0.00061
226,2,83,0.00061
227,2,84,0.00060
228,2,85,0.00060
229,2,86,0.00060
230,2,87,0.00061
231,2,88,0.00060
232,2,89,0.00061
233,2,90,0.00062
234,2,91,0.00062
235,2,92,0.00062
236,2,93,0.00062
237,2,94,0.00062
238,2,95,0.00063
239,2,96,0.00062
240,2,97,0.00062
241,2,98,0.00062
242,2,99,0.00062
243,2,100,0.00062
244,2,101,0.00062
245,2,102,0.00062
246,2,103,0.00062
247,2,104,0.00062
248,2,105,0.00061
249,2,106,0.00061
250,2,107,0.00061
251,2,108,0.00061
252,2,109,0.00061
253,2,110,0.00061
254,2,111,0.00061
255,2,112,0.00061
256,2,113,0.00061
257,2,114,0.00060
258,2,115,0.00060
259,2,116,0.00061
260,2,117,0.00060
261,2,118,0.00060
262,2,119,0.00060
263,2,120,0.00060
264,2,121,0.00060
265,2,122,0.00060
266,2,123,0.00060
267,2,124,0.00060
268,2,125,0.00059
269,2,126,0.00059
270,2,127,0.00059
271,2,128,0.00059
272,2,129,0.00059
273,2,130,0.00059
274,2,131,0.00059
275,2,132,0.00059
276,2,133,0.00059
277,2,134,0.00059
278,2,135,0.00058
279,2,136,0.00059
280,2,137,0.00058
281,2,138,0.00058
282,2,139,0.00058
283,2,140,0.00058
284,2,141,0.00058
285,2,142,0.00058
286,2,143,0.00058
287,3,1,0.00053
288,3,2,0.00037
289,3,3,0.00032
