date,cost_prediction
2026-01-19 04:00:00+00:00,92742.000000
2026-01-19 04:20:00+00:00,93062.625000
2026-01-19 04:40:00+00:00,93388.664062
2026-01-19 05:00:00+00:00,93701.164062
2026-01-19 05:20:00+00:00,93992.937500
2026-01-19 05:40:00+00:00,94268.867188
2026-01-19 06:00:00+00:00,94535.023438
2026-01-19 06:20:00+00:00,94795.507812
2026-01-19 06:40:00+00:00,95051.234375
2026-01-19 07:00:00+00:00,95301.429688
2026-01-19 07:20:00+00:00,95544.859375
2026-01-19 07:40:00+00:00,95780.601562
2026-01-19 08:00:00+00:00,96008.039062
2026-01-19 08:20:00+00:00,96226.906250
2026-01-19 08:40:00+00:00,96437.054688
2026-01-19 09:00:00+00:00,96638.390625
2026-01-19 09:20:00+00:00,96830.867188
2026-01-19 09:40:00+00:00,97014.476562
2026-01-19 10:00:00+00:00,97189.265625
2026-01-19 10:20:00+00:00,97355.312500
2026-01-19 10:40:00+00:00,97512.750000
2026-01-19 11:00:00+00:00,97661.765625
2026-01-19 11:20:00+00:00,97802.554688
2026-01-19 11:40:00+00:00,97935.359375
2026-01-19 12:00:00+00:00,98060.453125
2026-01-19 12:20:00+00:00,98178.101562
2026-01-19 12:40:00+00:00,98288.593750
2026-01-19 13:00:00+00:00,98392.250000
2026-01-19 13:20:00+00:00,98489.375000
2026-01-19 13:40:00+00:00,98580.273438
2026-01-19 14:00:00+00:00,98665.257812
2026-01-19 14:20:00+00:00,98744.632812
2026-01-19 14:40:00+00:00,98818.710938
2026-01-19 15:00:00+00:00,98887.789062
2026-01-19 15:20:00+00:00,98952.140625
2026-01-19 15:40:00+00:00,99012.062500
2026-01-19 16:00:00+00:00,99067.796875
2026-01-19 16:20:00+00:00,99119.625000
2026-01-19 16:40:00+00:00,99167.789062
2026-01-19 17:00:00+00:00,99212.523438
2026-01-19 17:20:00+00:00,99254.054688
2026-01-19 17:40:00+00:00,99292.578125
2026-01-19 18:00:00+00:00,99328.312500
2026-01-19 18:20:00+00:00,99361.460938
2026-01-19 18:40:00+00:00,99392.164062
2026-01-19 19:00:00+00:00,99420.617188
2026-01-19 19:20:00+00:00,99446.968750
2026-01-19 19:40:00+00:00,99471.367188
2026-01-19 20:00:00+00:00,99493.953125
2026-01-19 20:20:00+00:00,99514.851562
2026-01-19 20:40:00+00:00,99534.179688
2026-01-19 21:00:00+00:00,99552.070312
2026-01-19 21:20:00+00:00,99568.617188
2026-01-19 21:40:00+00:00,99583.914062
2026-01-19 22:00:00+00:00,99598.054688
2026-01-19 22:20:00+00:00,99611.125000
2026-01-19 22:40:00+00:00,99623.210938
2026-01-19 23:00:00+00:00,99634.382812
2026-01-19 23:20:00+00:00,99644.703125
2026-01-19 23:40:00+00:00,99654.242188
