date,cost_prediction
2026-01-19 04:00:00+00:00,92721.484375
2026-01-19 04:05:00+00:00,92588.640625
2026-01-19 04:10:00+00:00,92704.945312
2026-01-19 04:15:00+00:00,92718.898438
2026-01-19 04:20:00+00:00,92682.859375
2026-01-19 04:25:00+00:00,92777.625000
2026-01-19 04:30:00+00:00,92855.937500
2026-01-19 04:35:00+00:00,92972.773438
2026-01-19 04:40:00+00:00,93151.507812
2026-01-19 04:45:00+00:00,93169.625000
2026-01-19 04:50:00+00:00,93350.062500
2026-01-19 04:55:00+00:00,93191.914062
2026-01-19 05:00:00+00:00,93330.742188
2026-01-19 05:05:00+00:00,93358.867188
2026-01-19 05:10:00+00:00,93530.867188
2026-01-19 05:15:00+00:00,93780.437500
2026-01-19 05:20:00+00:00,93905.421875
2026-01-19 05:25:00+00:00,94021.312500
2026-01-19 05:30:00+00:00,94069.289062
2026-01-19 05:35:00+00:00,94161.390625
2026-01-19 05:40:00+00:00,94065.328125
2026-01-19 05:45:00+00:00,94226.656250
2026-01-19 05:50:00+00:00,94083.687500
2026-01-19 05:55:00+00:00,94076.976562
2026-01-19 06:00:00+00:00,94218.023438
2026-01-19 06:05:00+00:00,94268.960938
2026-01-19 06:10:00+00:00,94212.656250
2026-01-19 06:15:00+00:00,94294.117188
2026-01-19 06:20:00+00:00,94140.312500
2026-01-19 06:25:00+00:00,94116.828125
2026-01-19 06:30:00+00:00,94097.507812
2026-01-19 06:35:00+00:00,94032.000000
2026-01-19 06:40:00+00:00,94001.617188
2026-01-19 06:45:00+00:00,94117.164062
2026-01-19 06:50:00+00:00,94024.507812
2026-01-19 06:55:00+00:00,94135.570312
2026-01-19 07:00:00+00:00,94313.968750
2026-01-19 07:05:00+00:00,94487.281250
2026-01-19 07:10:00+00:00,94513.765625
2026-01-19 07:15:00+00:00,94504.398438
2026-01-19 07:20:00+00:00,94394.359375
2026-01-19 07:25:00+00:00,94607.742188
2026-01-19 07:30:00+00:00,94624.218750
2026-01-19 07:35:00+00:00,94625.265625
2026-01-19 07:40:00+00:00,94518.390625
2026-01-19 07:45:00+00:00,94529.960938
2026-01-19 07:50:00+00:00,94422.843750
2026-01-19 07:55:00+00:00,94577.179688
2026-01-19 08:00:00+00:00,94631.507812
2026-01-19 08:05:00+00:00,94754.703125
2026-01-19 08:10:00+00:00,94764.476562
2026-01-19 08:15:00+00:00,94709.484375
2026-01-19 08:20:00+00:00,94883.140625
2026-01-19 08:25:00+00:00,95001.789062
2026-01-19 08:30:00+00:00,95092.460938
2026-01-19 08:35:00+00:00,95065.742188
2026-01-19 08:40:00+00:00,95045.242188
2026-01-19 08:45:00+00:00,95067.398438
2026-01-19 08:50:00+00:00,95340.437500
2026-01-19 08:55:00+00:00,95374.929688
2026-01-19 09:00:00+00:00,95303.968750
2026-01-19 09:05:00+00:00,95373.585938
2026-01-19 09:10:00+00:00,95188.257812
2026-01-19 09:15:00+00:00,95160.320312
2026-01-19 09:20:00+00:00,95162.187500
2026-01-19 09:25:00+00:00,95316.414062
2026-01-19 09:30:00+00:00,95446.406250
2026-01-19 09:35:00+00:00,95638.101562
2026-01-19 09:40:00+00:00,95546.265625
2026-01-19 09:45:00+00:00,95727.007812
2026-01-19 09:50:00+00:00,95858.445312
2026-01-19 09:55:00+00:00,95792.820312
2026-01-19 10:00:00+00:00,95966.906250
2026-01-19 10:05:00+00:00,96150.359375
2026-01-19 10:10:00+00:00,96102.335938
2026-01-19 10:15:00+00:00,96182.960938
2026-01-19 10:20:00+00:00,96253.945312
2026-01-19 10:25:00+00:00,96538.898438
2026-01-19 10:30:00+00:00,96668.140625
2026-01-19 10:35:00+00:00,96510.914062
2026-01-19 10:40:00+00:00,96500.601562
2026-01-19 10:45:00+00:00,96376.789062
2026-01-19 10:50:00+00:00,96409.109375
2026-01-19 10:55:00+00:00,96546.078125
2026-01-19 11:00:00+00:00,96672.296875
2026-01-19 11:05:00+00:00,96934.000000
2026-01-19 11:10:00+00:00,96954.453125
2026-01-19 11:15:00+00:00,96969.492188
2026-01-19 11:20:00+00:00,96723.898438
2026-01-19 11:25:00+00:00,96747.250000
2026-01-19 11:30:00+00:00,96860.976562
2026-01-19 11:35:00+00:00,96932.375000
2026-01-19 11:40:00+00:00,97050.796875
2026-01-19 11:45:00+00:00,97085.484375
2026-01-19 11:50:00+00:00,97006.375000
2026-01-19 11:55:00+00:00,97130.273438
2026-01-19 12:00:00+00:00,97260.828125
2026-01-19 12:05:00+00:00,97310.703125
2026-01-19 12:10:00+00:00,97296.218750
2026-01-19 12:15:00+00:00,97271.851562
2026-01-19 12:20:00+00:00,97283.406250
2026-01-19 12:25:00+00:00,97363.406250
2026-01-19 12:30:00+00:00,97505.382812
2026-01-19 12:35:00+00:00,97514.070312
2026-01-19 12:40:00+00:00,97407.875000
2026-01-19 12:45:00+00:00,97410.289062
2026-01-19 12:50:00+00:00,97588.015625
2026-01-19 12:55:00+00:00,97727.898438
2026-01-19 13:00:00+00:00,97895.718750
2026-01-19 13:05:00+00:00,97661.726562
2026-01-19 13:10:00+00:00,97813.179688
2026-01-19 13:15:00+00:00,97787.703125
2026-01-19 13:20:00+00:00,97743.695312
2026-01-19 13:25:00+00:00,97705.492188
2026-01-19 13:30:00+00:00,97546.796875
2026-01-19 13:35:00+00:00,97555.257812
2026-01-19 13:40:00+00:00,97480.070312
2026-01-19 13:45:00+00:00,97677.015625
2026-01-19 13:50:00+00:00,97461.281250
2026-01-19 13:55:00+00:00,97518.320312
2026-01-19 14:00:00+00:00,97629.726562
2026-01-19 14:05:00+00:00,97561.703125
2026-01-19 14:10:00+00:00,97390.796875
2026-01-19 14:15:00+00:00,97252.984375
2026-01-19 14:20:00+00:00,97307.218750
2026-01-19 14:25:00+00:00,97174.406250
2026-01-19 14:30:00+00:00,97270.515625
2026-01-19 14:35:00+00:00,97433.867188
2026-01-19 14:40:00+00:00,97566.960938
2026-01-19 14:45:00+00:00,97709.812500
2026-01-19 14:50:00+00:00,97824.585938
2026-01-19 14:55:00+00:00,97734.554688
2026-01-19 15:00:00+00:00,97754.976562
2026-01-19 15:05:00+00:00,97712.382812
2026-01-19 15:10:00+00:00,97686.921875
2026-01-19 15:15:00+00:00,97568.046875
2026-01-19 15:20:00+00:00,97550.296875
2026-01-19 15:25:00+00:00,97689.398438
2026-01-19 15:30:00+00:00,97777.890625
2026-01-19 15:35:00+00:00,97857.515625
2026-01-19 15:40:00+00:00,97770.843750
2026-01-19 15:45:00+00:00,97632.882812
2026-01-19 15:50:00+00:00,97362.453125
2026-01-19 15:55:00+00:00,97523.312500
2026-01-19 16:00:00+00:00,97518.390625
2026-01-19 16:05:00+00:00,97485.335938
2026-01-19 16:10:00+00:00,97476.164062
2026-01-19 16:15:00+00:00,97489.328125
2026-01-19 16:20:00+00:00,97548.898438
2026-01-19 16:25:00+00:00,97480.117188
2026-01-19 16:30:00+00:00,97536.906250
2026-01-19 16:35:00+00:00,97548.140625
2026-01-19 16:40:00+00:00,97420.203125
2026-01-19 16:45:00+00:00,97343.539062
2026-01-19 16:50:00+00:00,97290.867188
2026-01-19 16:55:00+00:00,97342.593750
2026-01-19 17:00:00+00:00,97485.328125
2026-01-19 17:05:00+00:00,97200.476562
2026-01-19 17:10:00+00:00,97028.968750
2026-01-19 17:15:00+00:00,96984.867188
2026-01-19 17:20:00+00:00,96998.773438
2026-01-19 17:25:00+00:00,97209.421875
2026-01-19 17:30:00+00:00,97335.375000
2026-01-19 17:35:00+00:00,97509.492188
2026-01-19 17:40:00+00:00,97542.929688
2026-01-19 17:45:00+00:00,97568.226562
2026-01-19 17:50:00+00:00,97377.757812
2026-01-19 17:55:00+00:00,97551.015625
2026-01-19 18:00:00+00:00,97686.968750
2026-01-19 18:05:00+00:00,97814.437500
2026-01-19 18:10:00+00:00,97901.234375
2026-01-19 18:15:00+00:00,97656.273438
2026-01-19 18:20:00+00:00,97677.625000
2026-01-19 18:25:00+00:00,97646.296875
2026-01-19 18:30:00+00:00,97886.179688
2026-01-19 18:35:00+00:00,97968.562500
2026-01-19 18:40:00+00:00,97924.960938
2026-01-19 18:45:00+00:00,97940.359375
2026-01-19 18:50:00+00:00,97886.406250
2026-01-19 18:55:00+00:00,97878.617188
2026-01-19 19:00:00+00:00,97802.578125
2026-01-19 19:05:00+00:00,97766.695312
2026-01-19 19:10:00+00:00,97979.515625
2026-01-19 19:15:00+00:00,97854.937500
2026-01-19 19:20:00+00:00,98044.210938
2026-01-19 19:25:00+00:00,98176.007812
2026-01-19 19:30:00+00:00,98239.445312
2026-01-19 19:35:00+00:00,98179.429688
2026-01-19 19:40:00+00:00,98041.515625
2026-01-19 19:45:00+00:00,98083.046875
2026-01-19 19:50:00+00:00,98084.375000
2026-01-19 19:55:00+00:00,98083.156250
2026-01-19 20:00:00+00:00,98212.250000
2026-01-19 20:05:00+00:00,98282.976562
2026-01-19 20:10:00+00:00,98329.117188
2026-01-19 20:15:00+00:00,98145.828125
2026-01-19 20:20:00+00:00,98072.671875
2026-01-19 20:25:00+00:00,98180.203125
2026-01-19 20:30:00+00:00,98172.109375
2026-01-19 20:35:00+00:00,98233.914062
2026-01-19 20:40:00+00:00,98261.179688
2026-01-19 20:45:00+00:00,98189.046875
2026-01-19 20:50:00+00:00,98172.890625
2026-01-19 20:55:00+00:00,98241.882812
2026-01-19 21:00:00+00:00,98195.507812
2026-01-19 21:05:00+00:00,98065.789062
2026-01-19 21:10:00+00:00,98056.109375
2026-01-19 21:15:00+00:00,98066.304688
2026-01-19 21:20:00+00:00,98128.562500
2026-01-19 21:25:00+00:00,98071.835938
2026-01-19 21:30:00+00:00,98340.687500
2026-01-19 21:35:00+00:00,98527.609375
2026-01-19 21:40:00+00:00,98579.398438
2026-01-19 21:45:00+00:00,98456.640625
2026-01-19 21:50:00+00:00,98263.664062
2026-01-19 21:55:00+00:00,98290.992188
2026-01-19 22:00:00+00:00,98144.906250
2026-01-19 22:05:00+00:00,98056.039062
2026-01-19 22:10:00+00:00,98234.789062
2026-01-19 22:15:00+00:00,98283.859375
2026-01-19 22:20:00+00:00,98207.453125
2026-01-19 22:25:00+00:00,97979.007812
2026-01-19 22:30:00+00:00,98024.460938
2026-01-19 22:35:00+00:00,98025.757812
2026-01-19 22:40:00+00:00,98153.312500
2026-01-19 22:45:00+00:00,98169.585938
2026-01-19 22:50:00+00:00,98065.921875
2026-01-19 22:55:00+00:00,98124.335938
2026-01-19 23:00:00+00:00,98029.648438
2026-01-19 23:05:00+00:00,98131.062500
2026-01-19 23:10:00+00:00,98190.617188
2026-01-19 23:15:00+00:00,97920.476562
2026-01-19 23:20:00+00:00,97850.953125
2026-01-19 23:25:00+00:00,97813.320312
2026-01-19 23:30:00+00:00,97856.367188
2026-01-19 23:35:00+00:00,97735.195312
2026-01-19 23:40:00+00:00,97620.226562
2026-01-19 23:45:00+00:00,97638.468750
2026-01-19 23:50:00+00:00,97538.656250
2026-01-19 23:55:00+00:00,97682.695312
