date,cost_prediction
2026-01-19 04:00:00+00:00,92689.914062
2026-01-19 04:05:00+00:00,92522.148438
2026-01-19 04:10:00+00:00,92618.882812
2026-01-19 04:15:00+00:00,92632.617188
2026-01-19 04:20:00+00:00,92736.632812
2026-01-19 04:25:00+00:00,92654.914062
2026-01-19 04:30:00+00:00,92746.406250
2026-01-19 04:35:00+00:00,92973.109375
2026-01-19 04:40:00+00:00,93160.960938
2026-01-19 04:45:00+00:00,93175.578125
2026-01-19 04:50:00+00:00,92951.992188
2026-01-19 04:55:00+00:00,92916.460938
2026-01-19 05:00:00+00:00,92950.679688
2026-01-19 05:05:00+00:00,92956.859375
2026-01-19 05:10:00+00:00,93067.320312
2026-01-19 05:15:00+00:00,93167.671875
2026-01-19 05:20:00+00:00,93240.726562
2026-01-19 05:25:00+00:00,93272.460938
2026-01-19 05:30:00+00:00,93434.554688
2026-01-19 05:35:00+00:00,93420.742188
2026-01-19 05:40:00+00:00,93310.679688
2026-01-19 05:45:00+00:00,93252.148438
2026-01-19 05:50:00+00:00,93261.492188
2026-01-19 05:55:00+00:00,93348.148438
2026-01-19 06:00:00+00:00,93494.523438
2026-01-19 06:05:00+00:00,93600.726562
2026-01-19 06:10:00+00:00,93631.984375
2026-01-19 06:15:00+00:00,93684.921875
2026-01-19 06:20:00+00:00,93699.703125
2026-01-19 06:25:00+00:00,93558.382812
2026-01-19 06:30:00+00:00,93627.210938
2026-01-19 06:35:00+00:00,93742.679688
2026-01-19 06:40:00+00:00,93926.351562
2026-01-19 06:45:00+00:00,93916.062500
2026-01-19 06:50:00+00:00,93839.687500
2026-01-19 06:55:00+00:00,93791.007812
2026-01-19 07:00:00+00:00,93800.609375
2026-01-19 07:05:00+00:00,93875.250000
2026-01-19 07:10:00+00:00,93998.523438
2026-01-19 07:15:00+00:00,93997.234375
2026-01-19 07:20:00+00:00,94100.343750
2026-01-19 07:25:00+00:00,94019.671875
2026-01-19 07:30:00+00:00,94126.734375
2026-01-19 07:35:00+00:00,94275.390625
2026-01-19 07:40:00+00:00,94330.820312
2026-01-19 07:45:00+00:00,94541.070312
2026-01-19 07:50:00+00:00,94768.187500
