date,cost_prediction
2026-01-19 04:00:00+00:00,92632.242188
2026-01-19 04:05:00+00:00,92615.671875
2026-01-19 04:10:00+00:00,92593.085938
2026-01-19 04:15:00+00:00,92567.585938
2026-01-19 04:20:00+00:00,92541.398438
2026-01-19 04:25:00+00:00,92515.992188
2026-01-19 04:30:00+00:00,92492.000000
2026-01-19 04:35:00+00:00,92469.531250
2026-01-19 04:40:00+00:00,92448.390625
2026-01-19 04:45:00+00:00,92428.203125
2026-01-19 04:50:00+00:00,92408.585938
2026-01-19 04:55:00+00:00,92389.164062
2026-01-19 05:00:00+00:00,92369.726562
2026-01-19 05:05:00+00:00,92350.164062
2026-01-19 05:10:00+00:00,92330.484375
2026-01-19 05:15:00+00:00,92310.710938
2026-01-19 05:20:00+00:00,92290.929688
2026-01-19 05:25:00+00:00,92271.226562
2026-01-19 05:30:00+00:00,92251.664062
2026-01-19 05:35:00+00:00,92232.312500
2026-01-19 05:40:00+00:00,92213.195312
2026-01-19 05:45:00+00:00,92194.304688
2026-01-19 05:50:00+00:00,92175.625000
2026-01-19 05:55:00+00:00,92157.156250
2026-01-19 06:00:00+00:00,92138.929688
2026-01-19 06:05:00+00:00,92120.906250
2026-01-19 06:10:00+00:00,92103.085938
2026-01-19 06:15:00+00:00,92085.421875
2026-01-19 06:20:00+00:00,92067.898438
2026-01-19 06:25:00+00:00,92050.507812
2026-01-19 06:30:00+00:00,92033.218750
2026-01-19 06:35:00+00:00,92016.054688
2026-01-19 06:40:00+00:00,91998.992188
2026-01-19 06:45:00+00:00,91982.046875
2026-01-19 06:50:00+00:00,91965.218750
2026-01-19 06:55:00+00:00,91948.507812
2026-01-19 07:00:00+00:00,91931.914062
2026-01-19 07:05:00+00:00,91915.445312
2026-01-19 07:10:00+00:00,91899.093750
2026-01-19 07:15:00+00:00,91882.859375
2026-01-19 07:20:00+00:00,91866.742188
2026-01-19 07:25:00+00:00,91850.742188
2026-01-19 07:30:00+00:00,91834.843750
2026-01-19 07:35:00+00:00,91819.054688
2026-01-19 07:40:00+00:00,91803.367188
2026-01-19 07:45:00+00:00,91787.796875
2026-01-19 07:50:00+00:00,91772.320312
2026-01-19 07:55:00+00:00,91756.953125
2026-01-19 08:00:00+00:00,91741.687500
2026-01-19 08:05:00+00:00,91726.515625
2026-01-19 08:10:00+00:00,91711.445312
2026-01-19 08:15:00+00:00,91696.484375
2026-01-19 08:20:00+00:00,91681.617188
2026-01-19 08:25:00+00:00,91666.843750
2026-01-19 08:30:00+00:00,91652.164062
2026-01-19 08:35:00+00:00,91637.578125
2026-01-19 08:40:00+00:00,91623.101562
2026-01-19 08:45:00+00:00,91608.710938
2026-01-19 08:50:00+00:00,91594.406250
2026-01-19 08:55:00+00:00,91580.195312
2026-01-19 09:00:00+00:00,91566.078125
2026-01-19 09:05:00+00:00,91552.046875
2026-01-19 09:10:00+00:00,91538.109375
2026-01-19 09:15:00+00:00,91524.265625
2026-01-19 09:20:00+00:00,91510.492188
2026-01-19 09:25:00+00:00,91496.812500
2026-01-19 09:30:00+00:00,91483.226562
2026-01-19 09:35:00+00:00,91469.710938
2026-01-19 09:40:00+00:00,91456.289062
2026-01-19 09:45:00+00:00,91442.937500
2026-01-19 09:50:00+00:00,91429.679688
2026-01-19 09:55:00+00:00,91416.492188
2026-01-19 10:00:00+00:00,91403.398438
2026-01-19 10:05:00+00:00,91390.375000
2026-01-19 10:10:00+00:00,91377.429688
2026-01-19 10:15:00+00:00,91364.554688
2026-01-19 10:20:00+00:00,91351.773438
2026-01-19 10:25:00+00:00,91339.070312
2026-01-19 10:30:00+00:00,91326.429688
2026-01-19 10:35:00+00:00,91313.867188
2026-01-19 10:40:00+00:00,91301.382812
2026-01-19 10:45:00+00:00,91288.976562
2026-01-19 10:50:00+00:00,91276.632812
2026-01-19 10:55:00+00:00,91264.367188
2026-01-19 11:00:00+00:00,91252.171875
2026-01-19 11:05:00+00:00,91240.046875
2026-01-19 11:10:00+00:00,91228.000000
2026-01-19 11:15:00+00:00,91216.015625
2026-01-19 11:20:00+00:00,91204.101562
2026-01-19 11:25:00+00:00,91192.250000
2026-01-19 11:30:00+00:00,91180.476562
2026-01-19 11:35:00+00:00,91168.765625
2026-01-19 11:40:00+00:00,91157.125000
2026-01-19 11:45:00+00:00,91145.539062
2026-01-19 11:50:00+00:00,91134.023438
2026-01-19 11:55:00+00:00,91122.578125
2026-01-19 12:00:00+00:00,91111.195312
2026-01-19 12:05:00+00:00,91099.882812
2026-01-19 12:10:00+00:00,91088.625000
2026-01-19 12:15:00+00:00,91077.429688
2026-01-19 12:20:00+00:00,91066.296875
2026-01-19 12:25:00+00:00,91055.234375
2026-01-19 12:30:00+00:00,91044.234375
2026-01-19 12:35:00+00:00,91033.289062
2026-01-19 12:40:00+00:00,91022.398438
2026-01-19 12:45:00+00:00,91011.578125
2026-01-19 12:50:00+00:00,91000.804688
2026-01-19 12:55:00+00:00,90990.101562
2026-01-19 13:00:00+00:00,90979.453125
2026-01-19 13:05:00+00:00,90968.859375
2026-01-19 13:10:00+00:00,90958.328125
2026-01-19 13:15:00+00:00,90947.851562
2026-01-19 13:20:00+00:00,90937.429688
2026-01-19 13:25:00+00:00,90927.070312
2026-01-19 13:30:00+00:00,90916.765625
2026-01-19 13:35:00+00:00,90906.515625
2026-01-19 13:40:00+00:00,90896.320312
2026-01-19 13:45:00+00:00,90886.179688
2026-01-19 13:50:00+00:00,90876.085938
2026-01-19 13:55:00+00:00,90866.046875
2026-01-19 14:00:00+00:00,90856.070312
2026-01-19 14:05:00+00:00,90846.140625
2026-01-19 14:10:00+00:00,90836.265625
2026-01-19 14:15:00+00:00,90826.445312
2026-01-19 14:20:00+00:00,90816.671875
2026-01-19 14:25:00+00:00,90806.945312
2026-01-19 14:30:00+00:00,90797.281250
