date,cost_prediction
2026-01-19 04:00:00+00:00,92651.617188
2026-01-19 04:05:00+00:00,92668.132812
2026-01-19 04:10:00+00:00,92459.015625
2026-01-19 04:15:00+00:00,92338.343750
2026-01-19 04:20:00+00:00,92462.437500
2026-01-19 04:25:00+00:00,92400.234375
2026-01-19 04:30:00+00:00,92264.085938
2026-01-19 04:35:00+00:00,92328.187500
2026-01-19 04:40:00+00:00,92321.781250
2026-01-19 04:45:00+00:00,92222.515625
2026-01-19 04:50:00+00:00,92215.367188
2026-01-19 04:55:00+00:00,92372.679688
2026-01-19 05:00:00+00:00,92359.304688
2026-01-19 05:05:00+00:00,92405.312500
2026-01-19 05:10:00+00:00,92386.023438
2026-01-19 05:15:00+00:00,92427.929688
2026-01-19 05:20:00+00:00,92638.312500
2026-01-19 05:25:00+00:00,92499.445312
2026-01-19 05:30:00+00:00,92732.109375
2026-01-19 05:35:00+00:00,92933.414062
2026-01-19 05:40:00+00:00,93025.046875
2026-01-19 05:45:00+00:00,92972.625000
2026-01-19 05:50:00+00:00,93042.687500
2026-01-19 05:55:00+00:00,93018.609375
2026-01-19 06:00:00+00:00,93056.671875
2026-01-19 06:05:00+00:00,92964.429688
2026-01-19 06:10:00+00:00,93157.828125
2026-01-19 06:15:00+00:00,93173.914062
2026-01-19 06:20:00+00:00,93351.156250
2026-01-19 06:25:00+00:00,93404.882812
2026-01-19 06:30:00+00:00,93670.156250
2026-01-19 06:35:00+00:00,93704.539062
2026-01-19 06:40:00+00:00,93686.703125
2026-01-19 06:45:00+00:00,93645.757812
2026-01-19 06:50:00+00:00,93653.054688
2026-01-19 06:55:00+00:00,93707.234375
2026-01-19 07:00:00+00:00,93741.992188
2026-01-19 07:05:00+00:00,93909.734375
2026-01-19 07:10:00+00:00,93853.859375
2026-01-19 07:15:00+00:00,93764.046875
2026-01-19 07:20:00+00:00,93706.070312
2026-01-19 07:25:00+00:00,93693.695312
2026-01-19 07:30:00+00:00,93903.539062
2026-01-19 07:35:00+00:00,93927.812500
2026-01-19 07:40:00+00:00,93912.101562
2026-01-19 07:45:00+00:00,94010.179688
2026-01-19 07:50:00+00:00,94159.187500
2026-01-19 07:55:00+00:00,94219.765625
2026-01-19 08:00:00+00:00,94228.343750
2026-01-19 08:05:00+00:00,94035.921875
2026-01-19 08:10:00+00:00,93899.281250
2026-01-19 08:15:00+00:00,93985.000000
2026-01-19 08:20:00+00:00,94160.468750
2026-01-19 08:25:00+00:00,94168.359375
2026-01-19 08:30:00+00:00,94265.539062
2026-01-19 08:35:00+00:00,94407.171875
2026-01-19 08:40:00+00:00,94482.750000
2026-01-19 08:45:00+00:00,94462.179688
2026-01-19 08:50:00+00:00,94433.859375
2026-01-19 08:55:00+00:00,94450.328125
2026-01-19 09:00:00+00:00,94207.453125
2026-01-19 09:05:00+00:00,94300.593750
2026-01-19 09:10:00+00:00,94439.625000
2026-01-19 09:15:00+00:00,94434.890625
2026-01-19 09:20:00+00:00,94347.664062
2026-01-19 09:25:00+00:00,94342.843750
2026-01-19 09:30:00+00:00,94410.203125
