date,cost_prediction
2026-01-19 04:00:00+00:00,92751.851562
2026-01-19 04:05:00+00:00,92963.992188
2026-01-19 04:10:00+00:00,93155.015625
2026-01-19 04:15:00+00:00,93231.679688
2026-01-19 04:20:00+00:00,93271.648438
2026-01-19 04:25:00+00:00,93274.906250
2026-01-19 04:30:00+00:00,93489.101562
2026-01-19 04:35:00+00:00,93500.476562
2026-01-19 04:40:00+00:00,93651.757812
2026-01-19 04:45:00+00:00,93654.117188
2026-01-19 04:50:00+00:00,93643.523438
2026-01-19 04:55:00+00:00,93685.789062
2026-01-19 05:00:00+00:00,93736.632812
2026-01-19 05:05:00+00:00,93856.468750
2026-01-19 05:10:00+00:00,93864.695312
2026-01-19 05:15:00+00:00,94063.789062
2026-01-19 05:20:00+00:00,94315.437500
2026-01-19 05:25:00+00:00,94675.554688
2026-01-19 05:30:00+00:00,94874.367188
2026-01-19 05:35:00+00:00,94977.765625
2026-01-19 05:40:00+00:00,95081.140625
2026-01-19 05:45:00+00:00,95096.906250
2026-01-19 05:50:00+00:00,95287.226562
2026-01-19 05:55:00+00:00,95414.617188
2026-01-19 06:00:00+00:00,95360.054688
2026-01-19 06:05:00+00:00,95352.812500
2026-01-19 06:10:00+00:00,95357.289062
2026-01-19 06:15:00+00:00,95339.593750
2026-01-19 06:20:00+00:00,95319.304688
2026-01-19 06:25:00+00:00,95471.429688
2026-01-19 06:30:00+00:00,95527.359375
2026-01-19 06:35:00+00:00,95385.328125
2026-01-19 06:40:00+00:00,95412.304688
2026-01-19 06:45:00+00:00,95415.648438
2026-01-19 06:50:00+00:00,95512.328125
2026-01-19 06:55:00+00:00,95500.023438
2026-01-19 07:00:00+00:00,95548.328125
2026-01-19 07:05:00+00:00,95447.070312
2026-01-19 07:10:00+00:00,95510.460938
2026-01-19 07:15:00+00:00,95626.523438
2026-01-19 07:20:00+00:00,95681.062500
2026-01-19 07:25:00+00:00,95730.531250
2026-01-19 07:30:00+00:00,95962.281250
2026-01-19 07:35:00+00:00,96075.921875
2026-01-19 07:40:00+00:00,95922.171875
2026-01-19 07:45:00+00:00,95831.281250
2026-01-19 07:50:00+00:00,95784.695312
2026-01-19 07:55:00+00:00,95894.343750
2026-01-19 08:00:00+00:00,96138.343750
2026-01-19 08:05:00+00:00,96267.054688
2026-01-19 08:10:00+00:00,96219.601562
2026-01-19 08:15:00+00:00,96104.601562
2026-01-19 08:20:00+00:00,96038.648438
2026-01-19 08:25:00+00:00,96030.390625
2026-01-19 08:30:00+00:00,96177.289062
2026-01-19 08:35:00+00:00,96327.976562
2026-01-19 08:40:00+00:00,96209.546875
2026-01-19 08:45:00+00:00,95854.398438
2026-01-19 08:50:00+00:00,95942.484375
2026-01-19 08:55:00+00:00,96010.632812
2026-01-19 09:00:00+00:00,95923.664062
2026-01-19 09:05:00+00:00,95873.601562
2026-01-19 09:10:00+00:00,95930.304688
2026-01-19 09:15:00+00:00,95950.945312
2026-01-19 09:20:00+00:00,96149.710938
2026-01-19 09:25:00+00:00,96156.187500
2026-01-19 09:30:00+00:00,96310.757812
