date,cost_prediction
2026-01-19 04:00:00+00:00,92530.328125
2026-01-19 04:05:00+00:00,92707.031250
2026-01-19 04:10:00+00:00,92944.039062
2026-01-19 04:15:00+00:00,93061.414062
2026-01-19 04:20:00+00:00,93135.343750
2026-01-19 04:25:00+00:00,93189.101562
2026-01-19 04:30:00+00:00,93335.148438
2026-01-19 04:35:00+00:00,93561.921875
2026-01-19 04:40:00+00:00,93821.914062
2026-01-19 04:45:00+00:00,93938.937500
2026-01-19 04:50:00+00:00,94089.835938
2026-01-19 04:55:00+00:00,94256.046875
2026-01-19 05:00:00+00:00,94503.437500
2026-01-19 05:05:00+00:00,94571.906250
2026-01-19 05:10:00+00:00,94680.296875
2026-01-19 05:15:00+00:00,94628.125000
2026-01-19 05:20:00+00:00,94584.414062
2026-01-19 05:25:00+00:00,94558.187500
2026-01-19 05:30:00+00:00,94459.789062
2026-01-19 05:35:00+00:00,94361.726562
2026-01-19 05:40:00+00:00,94516.039062
2026-01-19 05:45:00+00:00,94572.273438
2026-01-19 05:50:00+00:00,94629.429688
2026-01-19 05:55:00+00:00,94733.414062
2026-01-19 06:00:00+00:00,94989.296875
2026-01-19 06:05:00+00:00,95008.289062
2026-01-19 06:10:00+00:00,94903.156250
2026-01-19 06:15:00+00:00,94672.937500
2026-01-19 06:20:00+00:00,94824.687500
2026-01-19 06:25:00+00:00,94932.914062
2026-01-19 06:30:00+00:00,95158.546875
2026-01-19 06:35:00+00:00,95345.015625
2026-01-19 06:40:00+00:00,95259.796875
2026-01-19 06:45:00+00:00,95391.828125
2026-01-19 06:50:00+00:00,95638.312500
2026-01-19 06:55:00+00:00,95837.937500
2026-01-19 07:00:00+00:00,95811.765625
2026-01-19 07:05:00+00:00,96012.640625
2026-01-19 07:10:00+00:00,96182.062500
2026-01-19 07:15:00+00:00,96271.812500
2026-01-19 07:20:00+00:00,96450.546875
2026-01-19 07:25:00+00:00,96709.195312
2026-01-19 07:30:00+00:00,96910.757812
2026-01-19 07:35:00+00:00,96958.710938
2026-01-19 07:40:00+00:00,97004.585938
2026-01-19 07:45:00+00:00,96908.406250
2026-01-19 07:50:00+00:00,96876.671875
2026-01-19 07:55:00+00:00,96861.250000
2026-01-19 08:00:00+00:00,96833.265625
2026-01-19 08:05:00+00:00,96544.164062
2026-01-19 08:10:00+00:00,96573.492188
2026-01-19 08:15:00+00:00,96556.085938
2026-01-19 08:20:00+00:00,96621.468750
2026-01-19 08:25:00+00:00,96651.414062
2026-01-19 08:30:00+00:00,96771.812500
2026-01-19 08:35:00+00:00,96890.835938
2026-01-19 08:40:00+00:00,97019.609375
2026-01-19 08:45:00+00:00,97019.367188
2026-01-19 08:50:00+00:00,97082.593750
2026-01-19 08:55:00+00:00,97067.921875
2026-01-19 09:00:00+00:00,96893.015625
2026-01-19 09:05:00+00:00,96902.726562
2026-01-19 09:10:00+00:00,96904.828125
2026-01-19 09:15:00+00:00,96965.757812
2026-01-19 09:20:00+00:00,97039.500000
2026-01-19 09:25:00+00:00,97079.296875
2026-01-19 09:30:00+00:00,96965.539062
2026-01-19 09:35:00+00:00,96794.093750
2026-01-19 09:40:00+00:00,96903.320312
2026-01-19 09:45:00+00:00,97037.054688
2026-01-19 09:50:00+00:00,97017.382812
2026-01-19 09:55:00+00:00,96965.968750
2026-01-19 10:00:00+00:00,97190.890625
2026-01-19 10:05:00+00:00,97367.500000
2026-01-19 10:10:00+00:00,97416.937500
2026-01-19 10:15:00+00:00,97544.468750
2026-01-19 10:20:00+00:00,97587.554688
2026-01-19 10:25:00+00:00,97885.070312
2026-01-19 10:30:00+00:00,97905.093750
2026-01-19 10:35:00+00:00,98295.953125
2026-01-19 10:40:00+00:00,98417.046875
2026-01-19 10:45:00+00:00,98287.031250
2026-01-19 10:50:00+00:00,98327.648438
2026-01-19 10:55:00+00:00,98460.820312
2026-01-19 11:00:00+00:00,98714.453125
2026-01-19 11:05:00+00:00,98781.187500
2026-01-19 11:10:00+00:00,98834.273438
2026-01-19 11:15:00+00:00,98802.078125
2026-01-19 11:20:00+00:00,98866.867188
2026-01-19 11:25:00+00:00,98914.265625
2026-01-19 11:30:00+00:00,98949.250000
2026-01-19 11:35:00+00:00,99099.437500
2026-01-19 11:40:00+00:00,98975.296875
2026-01-19 11:45:00+00:00,99024.500000
2026-01-19 11:50:00+00:00,99013.343750
2026-01-19 11:55:00+00:00,99253.242188
2026-01-19 12:00:00+00:00,99568.140625
2026-01-19 12:05:00+00:00,99815.210938
2026-01-19 12:10:00+00:00,100111.195312
2026-01-19 12:15:00+00:00,100152.492188
2026-01-19 12:20:00+00:00,100143.171875
2026-01-19 12:25:00+00:00,100148.632812
2026-01-19 12:30:00+00:00,100172.867188
2026-01-19 12:35:00+00:00,100316.687500
2026-01-19 12:40:00+00:00,100363.929688
2026-01-19 12:45:00+00:00,100612.421875
2026-01-19 12:50:00+00:00,100612.914062
2026-01-19 12:55:00+00:00,100532.203125
2026-01-19 13:00:00+00:00,100535.640625
2026-01-19 13:05:00+00:00,100540.140625
2026-01-19 13:10:00+00:00,100616.523438
2026-01-19 13:15:00+00:00,100661.625000
2026-01-19 13:20:00+00:00,100750.054688
2026-01-19 13:25:00+00:00,100718.375000
2026-01-19 13:30:00+00:00,100658.875000
2026-01-19 13:35:00+00:00,100587.804688
2026-01-19 13:40:00+00:00,100810.242188
2026-01-19 13:45:00+00:00,100985.367188
2026-01-19 13:50:00+00:00,101015.148438
2026-01-19 13:55:00+00:00,101020.359375
2026-01-19 14:00:00+00:00,101278.750000
2026-01-19 14:05:00+00:00,101440.687500
2026-01-19 14:10:00+00:00,101501.031250
2026-01-19 14:15:00+00:00,101428.367188
2026-01-19 14:20:00+00:00,101475.226562
2026-01-19 14:25:00+00:00,101495.328125
2026-01-19 14:30:00+00:00,101622.335938
2026-01-19 14:35:00+00:00,101591.164062
2026-01-19 14:40:00+00:00,101296.539062
2026-01-19 14:45:00+00:00,101352.789062
2026-01-19 14:50:00+00:00,101468.007812
2026-01-19 14:55:00+00:00,101514.953125
2026-01-19 15:00:00+00:00,101559.578125
2026-01-19 15:05:00+00:00,101794.343750
2026-01-19 15:10:00+00:00,101938.328125
2026-01-19 15:15:00+00:00,102142.593750
2026-01-19 15:20:00+00:00,102062.765625
2026-01-19 15:25:00+00:00,102046.031250
2026-01-19 15:30:00+00:00,101947.851562
2026-01-19 15:35:00+00:00,101886.437500
2026-01-19 15:40:00+00:00,101743.875000
2026-01-19 15:45:00+00:00,101695.718750
2026-01-19 15:50:00+00:00,102003.523438
2026-01-19 15:55:00+00:00,101933.109375
2026-01-19 16:00:00+00:00,101887.992188
2026-01-19 16:05:00+00:00,101902.773438
2026-01-19 16:10:00+00:00,102049.070312
2026-01-19 16:15:00+00:00,102151.554688
2026-01-19 16:20:00+00:00,102142.531250
2026-01-19 16:25:00+00:00,102221.234375
2026-01-19 16:30:00+00:00,102115.671875
2026-01-19 16:35:00+00:00,101977.601562
2026-01-19 16:40:00+00:00,102086.093750
2026-01-19 16:45:00+00:00,102247.078125
2026-01-19 16:50:00+00:00,102113.828125
2026-01-19 16:55:00+00:00,102062.796875
2026-01-19 17:00:00+00:00,102057.250000
2026-01-19 17:05:00+00:00,101999.992188
2026-01-19 17:10:00+00:00,101946.179688
2026-01-19 17:15:00+00:00,101926.398438
2026-01-19 17:20:00+00:00,101758.179688
2026-01-19 17:25:00+00:00,101847.492188
2026-01-19 17:30:00+00:00,101909.593750
2026-01-19 17:35:00+00:00,102012.976562
2026-01-19 17:40:00+00:00,101852.835938
2026-01-19 17:45:00+00:00,101642.304688
2026-01-19 17:50:00+00:00,101583.382812
2026-01-19 17:55:00+00:00,101798.937500
2026-01-19 18:00:00+00:00,101797.921875
2026-01-19 18:05:00+00:00,101962.429688
