date,cost_prediction
2026-01-19 04:00:00+00:00,92677.203125
2026-01-19 04:05:00+00:00,92774.140625
2026-01-19 04:10:00+00:00,92941.062500
2026-01-19 04:15:00+00:00,93037.453125
2026-01-19 04:20:00+00:00,93045.875000
2026-01-19 04:25:00+00:00,93052.765625
2026-01-19 04:30:00+00:00,93065.187500
2026-01-19 04:35:00+00:00,92903.421875
2026-01-19 04:40:00+00:00,92963.859375
2026-01-19 04:45:00+00:00,92903.859375
2026-01-19 04:50:00+00:00,92911.617188
2026-01-19 04:55:00+00:00,92882.539062
2026-01-19 05:00:00+00:00,93064.757812
2026-01-19 05:05:00+00:00,92910.843750
2026-01-19 05:10:00+00:00,93073.750000
2026-01-19 05:15:00+00:00,93172.914062
2026-01-19 05:20:00+00:00,93404.117188
2026-01-19 05:25:00+00:00,93515.062500
2026-01-19 05:30:00+00:00,93555.132812
2026-01-19 05:35:00+00:00,93652.226562
2026-01-19 05:40:00+00:00,93804.273438
2026-01-19 05:45:00+00:00,93895.898438
2026-01-19 05:50:00+00:00,93876.554688
2026-01-19 05:55:00+00:00,94083.664062
2026-01-19 06:00:00+00:00,94135.562500
2026-01-19 06:05:00+00:00,94331.765625
2026-01-19 06:10:00+00:00,94361.734375
2026-01-19 06:15:00+00:00,94356.984375
2026-01-19 06:20:00+00:00,94548.414062
2026-01-19 06:25:00+00:00,94520.179688
2026-01-19 06:30:00+00:00,94699.679688
2026-01-19 06:35:00+00:00,94635.304688
2026-01-19 06:40:00+00:00,94598.265625
2026-01-19 06:45:00+00:00,94464.726562
2026-01-19 06:50:00+00:00,94411.203125
2026-01-19 06:55:00+00:00,94368.648438
2026-01-19 07:00:00+00:00,94319.968750
2026-01-19 07:05:00+00:00,94359.289062
2026-01-19 07:10:00+00:00,94378.343750
2026-01-19 07:15:00+00:00,94439.382812
2026-01-19 07:20:00+00:00,94638.515625
2026-01-19 07:25:00+00:00,94738.171875
2026-01-19 07:30:00+00:00,94742.187500
2026-01-19 07:35:00+00:00,94807.734375
2026-01-19 07:40:00+00:00,94762.898438
2026-01-19 07:45:00+00:00,94626.867188
2026-01-19 07:50:00+00:00,94597.820312
2026-01-19 07:55:00+00:00,94536.765625
2026-01-19 08:00:00+00:00,94586.734375
2026-01-19 08:05:00+00:00,94502.414062
2026-01-19 08:10:00+00:00,94452.132812
2026-01-19 08:15:00+00:00,94324.023438
2026-01-19 08:20:00+00:00,94418.882812
2026-01-19 08:25:00+00:00,94518.968750
2026-01-19 08:30:00+00:00,94590.492188
2026-01-19 08:35:00+00:00,94611.468750
2026-01-19 08:40:00+00:00,94625.140625
2026-01-19 08:45:00+00:00,94557.179688
2026-01-19 08:50:00+00:00,94332.421875
2026-01-19 08:55:00+00:00,94369.765625
2026-01-19 09:00:00+00:00,94325.812500
2026-01-19 09:05:00+00:00,94330.757812
2026-01-19 09:10:00+00:00,94210.359375
2026-01-19 09:15:00+00:00,94264.289062
2026-01-19 09:20:00+00:00,94286.273438
2026-01-19 09:25:00+00:00,94277.539062
2026-01-19 09:30:00+00:00,94280.023438
2026-01-19 09:35:00+00:00,94233.429688
2026-01-19 09:40:00+00:00,94391.781250
2026-01-19 09:45:00+00:00,94301.992188
2026-01-19 09:50:00+00:00,94395.914062
2026-01-19 09:55:00+00:00,94401.218750
2026-01-19 10:00:00+00:00,94458.429688
2026-01-19 10:05:00+00:00,94419.296875
2026-01-19 10:10:00+00:00,94373.359375
2026-01-19 10:15:00+00:00,94504.375000
2026-01-19 10:20:00+00:00,94423.812500
2026-01-19 10:25:00+00:00,94371.843750
2026-01-19 10:30:00+00:00,94307.609375
2026-01-19 10:35:00+00:00,94540.070312
2026-01-19 10:40:00+00:00,94414.382812
2026-01-19 10:45:00+00:00,94514.859375
2026-01-19 10:50:00+00:00,94454.960938
2026-01-19 10:55:00+00:00,94614.015625
2026-01-19 11:00:00+00:00,94652.648438
2026-01-19 11:05:00+00:00,94665.406250
2026-01-19 11:10:00+00:00,94605.320312
2026-01-19 11:15:00+00:00,94698.117188
2026-01-19 11:20:00+00:00,94758.742188
2026-01-19 11:25:00+00:00,94574.101562
2026-01-19 11:30:00+00:00,94532.453125
2026-01-19 11:35:00+00:00,94534.257812
2026-01-19 11:40:00+00:00,94560.859375
2026-01-19 11:45:00+00:00,94525.843750
2026-01-19 11:50:00+00:00,94578.562500
2026-01-19 11:55:00+00:00,94597.226562
2026-01-19 12:00:00+00:00,94554.109375
2026-01-19 12:05:00+00:00,94492.554688
2026-01-19 12:10:00+00:00,94453.773438
