date,cost_prediction
2026-01-19 04:00:00+00:00,92570.039062
2026-01-19 04:05:00+00:00,92508.140625
2026-01-19 04:10:00+00:00,92433.140625
2026-01-19 04:15:00+00:00,92357.476562
2026-01-19 04:20:00+00:00,92283.507812
2026-01-19 04:25:00+00:00,92210.843750
2026-01-19 04:30:00+00:00,92138.601562
2026-01-19 04:35:00+00:00,92066.148438
2026-01-19 04:40:00+00:00,91993.210938
2026-01-19 04:45:00+00:00,91919.875000
2026-01-19 04:50:00+00:00,91846.406250
2026-01-19 04:55:00+00:00,91773.109375
2026-01-19 05:00:00+00:00,91700.273438
2026-01-19 05:05:00+00:00,91628.125000
2026-01-19 05:10:00+00:00,91556.789062
2026-01-19 05:15:00+00:00,91486.351562
2026-01-19 05:20:00+00:00,91416.859375
2026-01-19 05:25:00+00:00,91348.281250
2026-01-19 05:30:00+00:00,91280.609375
2026-01-19 05:35:00+00:00,91213.812500
2026-01-19 05:40:00+00:00,91147.843750
2026-01-19 05:45:00+00:00,91082.664062
2026-01-19 05:50:00+00:00,91018.234375
2026-01-19 05:55:00+00:00,90954.523438
2026-01-19 06:00:00+00:00,90891.507812
2026-01-19 06:05:00+00:00,90829.140625
2026-01-19 06:10:00+00:00,90767.375000
2026-01-19 06:15:00+00:00,90706.171875
2026-01-19 06:20:00+00:00,90645.515625
2026-01-19 06:25:00+00:00,90585.375000
2026-01-19 06:30:00+00:00,90525.726562
2026-01-19 06:35:00+00:00,90466.578125
2026-01-19 06:40:00+00:00,90407.890625
2026-01-19 06:45:00+00:00,90349.679688
2026-01-19 06:50:00+00:00,90291.937500
2026-01-19 06:55:00+00:00,90234.648438
2026-01-19 07:00:00+00:00,90177.812500
2026-01-19 07:05:00+00:00,90121.414062
2026-01-19 07:10:00+00:00,90065.468750
2026-01-19 07:15:00+00:00,90009.960938
2026-01-19 07:20:00+00:00,89954.890625
2026-01-19 07:25:00+00:00,89900.265625
2026-01-19 07:30:00+00:00,89846.070312
2026-01-19 07:35:00+00:00,89792.312500
2026-01-19 07:40:00+00:00,89738.984375
2026-01-19 07:45:00+00:00,89686.093750
2026-01-19 07:50:00+00:00,89633.640625
2026-01-19 07:55:00+00:00,89581.609375
2026-01-19 08:00:00+00:00,89530.015625
2026-01-19 08:05:00+00:00,89478.851562
2026-01-19 08:10:00+00:00,89428.109375
2026-01-19 08:15:00+00:00,89377.804688
2026-01-19 08:20:00+00:00,89327.921875
2026-01-19 08:25:00+00:00,89278.453125
