date,cost_prediction
2026-01-19 04:00:00+00:00,92689.429688
2026-01-19 04:05:00+00:00,92689.796875
2026-01-19 04:10:00+00:00,92644.195312
2026-01-19 04:15:00+00:00,92863.750000
2026-01-19 04:20:00+00:00,92815.125000
2026-01-19 04:25:00+00:00,92852.187500
2026-01-19 04:30:00+00:00,92983.500000
2026-01-19 04:35:00+00:00,92880.882812
2026-01-19 04:40:00+00:00,92851.156250
2026-01-19 04:45:00+00:00,92846.906250
2026-01-19 04:50:00+00:00,93018.000000
2026-01-19 04:55:00+00:00,93228.445312
2026-01-19 05:00:00+00:00,93449.203125
2026-01-19 05:05:00+00:00,93255.851562
2026-01-19 05:10:00+00:00,93256.445312
2026-01-19 05:15:00+00:00,93411.359375
2026-01-19 05:20:00+00:00,93607.187500
2026-01-19 05:25:00+00:00,93664.789062
2026-01-19 05:30:00+00:00,93854.468750
2026-01-19 05:35:00+00:00,94136.406250
2026-01-19 05:40:00+00:00,94231.617188
2026-01-19 05:45:00+00:00,94363.265625
2026-01-19 05:50:00+00:00,94334.062500
2026-01-19 05:55:00+00:00,94569.367188
2026-01-19 06:00:00+00:00,94528.234375
2026-01-19 06:05:00+00:00,94813.468750
2026-01-19 06:10:00+00:00,94799.710938
2026-01-19 06:15:00+00:00,94893.046875
2026-01-19 06:20:00+00:00,95010.351562
2026-01-19 06:25:00+00:00,94923.085938
2026-01-19 06:30:00+00:00,94967.210938
2026-01-19 06:35:00+00:00,95093.429688
2026-01-19 06:40:00+00:00,95198.507812
2026-01-19 06:45:00+00:00,95451.031250
2026-01-19 06:50:00+00:00,95482.867188
2026-01-19 06:55:00+00:00,95625.632812
2026-01-19 07:00:00+00:00,95723.421875
2026-01-19 07:05:00+00:00,95792.335938
2026-01-19 07:10:00+00:00,95524.015625
2026-01-19 07:15:00+00:00,95735.492188
2026-01-19 07:20:00+00:00,95698.117188
2026-01-19 07:25:00+00:00,95966.867188
2026-01-19 07:30:00+00:00,96010.414062
2026-01-19 07:35:00+00:00,96070.906250
2026-01-19 07:40:00+00:00,96144.953125
2026-01-19 07:45:00+00:00,96156.867188
2026-01-19 07:50:00+00:00,96377.070312
2026-01-19 07:55:00+00:00,96653.375000
2026-01-19 08:00:00+00:00,96700.398438
2026-01-19 08:05:00+00:00,96716.953125
2026-01-19 08:10:00+00:00,96863.304688
2026-01-19 08:15:00+00:00,96883.695312
2026-01-19 08:20:00+00:00,96916.601562
2026-01-19 08:25:00+00:00,96806.000000
2026-01-19 08:30:00+00:00,96872.718750
2026-01-19 08:35:00+00:00,97018.476562
2026-01-19 08:40:00+00:00,97092.742188
2026-01-19 08:45:00+00:00,97071.125000
2026-01-19 08:50:00+00:00,97200.039062
2026-01-19 08:55:00+00:00,97276.554688
2026-01-19 09:00:00+00:00,97295.773438
2026-01-19 09:05:00+00:00,97293.210938
2026-01-19 09:10:00+00:00,97563.007812
2026-01-19 09:15:00+00:00,97758.570312
2026-01-19 09:20:00+00:00,97601.523438
2026-01-19 09:25:00+00:00,97650.585938
2026-01-19 09:30:00+00:00,97694.156250
2026-01-19 09:35:00+00:00,97631.953125
2026-01-19 09:40:00+00:00,97669.015625
2026-01-19 09:45:00+00:00,97665.210938
2026-01-19 09:50:00+00:00,97855.398438
2026-01-19 09:55:00+00:00,97958.335938
2026-01-19 10:00:00+00:00,98160.375000
2026-01-19 10:05:00+00:00,98121.164062
2026-01-19 10:10:00+00:00,98243.265625
2026-01-19 10:15:00+00:00,98302.320312
2026-01-19 10:20:00+00:00,98307.773438
2026-01-19 10:25:00+00:00,98427.312500
2026-01-19 10:30:00+00:00,98404.554688
2026-01-19 10:35:00+00:00,98331.656250
2026-01-19 10:40:00+00:00,98355.710938
2026-01-19 10:45:00+00:00,98437.570312
2026-01-19 10:50:00+00:00,98578.890625
2026-01-19 10:55:00+00:00,98622.992188
2026-01-19 11:00:00+00:00,98869.476562
2026-01-19 11:05:00+00:00,98880.093750
2026-01-19 11:10:00+00:00,99059.351562
2026-01-19 11:15:00+00:00,99157.250000
2026-01-19 11:20:00+00:00,99230.554688
2026-01-19 11:25:00+00:00,99195.656250
2026-01-19 11:30:00+00:00,99364.531250
2026-01-19 11:35:00+00:00,99364.617188
2026-01-19 11:40:00+00:00,99607.046875
2026-01-19 11:45:00+00:00,99559.609375
2026-01-19 11:50:00+00:00,99652.898438
2026-01-19 11:55:00+00:00,99697.515625
2026-01-19 12:00:00+00:00,99798.640625
2026-01-19 12:05:00+00:00,99886.781250
2026-01-19 12:10:00+00:00,100118.828125
2026-01-19 12:15:00+00:00,100172.750000
2026-01-19 12:20:00+00:00,100267.679688
2026-01-19 12:25:00+00:00,100275.453125
2026-01-19 12:30:00+00:00,100203.750000
2026-01-19 12:35:00+00:00,100303.000000
2026-01-19 12:40:00+00:00,100183.218750
2026-01-19 12:45:00+00:00,100245.671875
2026-01-19 12:50:00+00:00,100387.562500
2026-01-19 12:55:00+00:00,100224.664062
2026-01-19 13:00:00+00:00,100096.093750
2026-01-19 13:05:00+00:00,100201.187500
2026-01-19 13:10:00+00:00,100169.226562
2026-01-19 13:15:00+00:00,100338.320312
2026-01-19 13:20:00+00:00,100537.398438
2026-01-19 13:25:00+00:00,100478.343750
2026-01-19 13:30:00+00:00,100577.539062
2026-01-19 13:35:00+00:00,100545.101562
2026-01-19 13:40:00+00:00,100454.882812
2026-01-19 13:45:00+00:00,100286.062500
2026-01-19 13:50:00+00:00,100377.015625
2026-01-19 13:55:00+00:00,100287.773438
2026-01-19 14:00:00+00:00,100436.601562
2026-01-19 14:05:00+00:00,100493.234375
2026-01-19 14:10:00+00:00,100563.054688
2026-01-19 14:15:00+00:00,100493.859375
2026-01-19 14:20:00+00:00,100539.250000
2026-01-19 14:25:00+00:00,100576.976562
2026-01-19 14:30:00+00:00,100638.062500
2026-01-19 14:35:00+00:00,100788.453125
2026-01-19 14:40:00+00:00,100962.851562
2026-01-19 14:45:00+00:00,100887.835938
2026-01-19 14:50:00+00:00,100913.859375
2026-01-19 14:55:00+00:00,101032.093750
2026-01-19 15:00:00+00:00,101102.945312
2026-01-19 15:05:00+00:00,101026.578125
2026-01-19 15:10:00+00:00,100932.257812
2026-01-19 15:15:00+00:00,100753.195312
2026-01-19 15:20:00+00:00,100677.804688
2026-01-19 15:25:00+00:00,100688.218750
2026-01-19 15:30:00+00:00,100750.789062
2026-01-19 15:35:00+00:00,100712.882812
2026-01-19 15:40:00+00:00,100808.156250
2026-01-19 15:45:00+00:00,101009.765625
2026-01-19 15:50:00+00:00,101028.671875
2026-01-19 15:55:00+00:00,101180.828125
2026-01-19 16:00:00+00:00,101073.781250
2026-01-19 16:05:00+00:00,101080.554688
2026-01-19 16:10:00+00:00,101195.554688
2026-01-19 16:15:00+00:00,101294.179688
2026-01-19 16:20:00+00:00,101309.765625
2026-01-19 16:25:00+00:00,101397.921875
2026-01-19 16:30:00+00:00,101437.007812
2026-01-19 16:35:00+00:00,101428.046875
2026-01-19 16:40:00+00:00,101550.125000
2026-01-19 16:45:00+00:00,101268.046875
2026-01-19 16:50:00+00:00,101261.351562
2026-01-19 16:55:00+00:00,101178.546875
2026-01-19 17:00:00+00:00,101210.296875
2026-01-19 17:05:00+00:00,101368.570312
2026-01-19 17:10:00+00:00,101398.007812
2026-01-19 17:15:00+00:00,101548.546875
2026-01-19 17:20:00+00:00,101668.156250
2026-01-19 17:25:00+00:00,101666.140625
2026-01-19 17:30:00+00:00,101604.070312
2026-01-19 17:35:00+00:00,101778.734375
2026-01-19 17:40:00+00:00,101793.984375
2026-01-19 17:45:00+00:00,101686.078125
2026-01-19 17:50:00+00:00,101397.843750
2026-01-19 17:55:00+00:00,101230.492188
2026-01-19 18:00:00+00:00,101173.679688
2026-01-19 18:05:00+00:00,100972.078125
2026-01-19 18:10:00+00:00,101065.445312
2026-01-19 18:15:00+00:00,101100.523438
2026-01-19 18:20:00+00:00,101198.140625
2026-01-19 18:25:00+00:00,101267.320312
2026-01-19 18:30:00+00:00,101268.523438
2026-01-19 18:35:00+00:00,101349.515625
2026-01-19 18:40:00+00:00,101437.304688
2026-01-19 18:45:00+00:00,101075.554688
2026-01-19 18:50:00+00:00,101004.617188
2026-01-19 18:55:00+00:00,100967.148438
2026-01-19 19:00:00+00:00,101036.632812
2026-01-19 19:05:00+00:00,100962.703125
2026-01-19 19:10:00+00:00,100877.015625
2026-01-19 19:15:00+00:00,100830.187500
2026-01-19 19:20:00+00:00,100847.796875
2026-01-19 19:25:00+00:00,100835.718750
2026-01-19 19:30:00+00:00,100920.890625
2026-01-19 19:35:00+00:00,100827.445312
2026-01-19 19:40:00+00:00,100826.367188
2026-01-19 19:45:00+00:00,100966.937500
2026-01-19 19:50:00+00:00,100895.281250
2026-01-19 19:55:00+00:00,100907.429688
2026-01-19 20:00:00+00:00,101073.750000
2026-01-19 20:05:00+00:00,100829.382812
2026-01-19 20:10:00+00:00,100717.070312
2026-01-19 20:15:00+00:00,100788.367188
2026-01-19 20:20:00+00:00,100588.070312
2026-01-19 20:25:00+00:00,100660.539062
2026-01-19 20:30:00+00:00,100665.945312
2026-01-19 20:35:00+00:00,100733.304688
2026-01-19 20:40:00+00:00,100615.070312
2026-01-19 20:45:00+00:00,100542.429688
2026-01-19 20:50:00+00:00,100584.539062
2026-01-19 20:55:00+00:00,100569.007812
2026-01-19 21:00:00+00:00,100831.929688
2026-01-19 21:05:00+00:00,100906.007812
2026-01-19 21:10:00+00:00,100965.046875
2026-01-19 21:15:00+00:00,100804.914062
2026-01-19 21:20:00+00:00,100920.515625
