date,cost_prediction
2026-01-19 04:00:00+00:00,92560.687500
2026-01-19 04:05:00+00:00,92474.437500
2026-01-19 04:10:00+00:00,92375.695312
2026-01-19 04:15:00+00:00,92274.664062
2026-01-19 04:20:00+00:00,92176.757812
2026-01-19 04:25:00+00:00,92084.320312
2026-01-19 04:30:00+00:00,91997.242188
2026-01-19 04:35:00+00:00,91914.125000
2026-01-19 04:40:00+00:00,91833.343750
2026-01-19 04:45:00+00:00,91753.359375
2026-01-19 04:50:00+00:00,91673.078125
2026-01-19 04:55:00+00:00,91591.906250
2026-01-19 05:00:00+00:00,91509.781250
2026-01-19 05:05:00+00:00,91427.179688
2026-01-19 05:10:00+00:00,91344.625000
2026-01-19 05:15:00+00:00,91262.757812
2026-01-19 05:20:00+00:00,91182.078125
2026-01-19 05:25:00+00:00,91102.984375
2026-01-19 05:30:00+00:00,91025.742188
2026-01-19 05:35:00+00:00,90950.390625
2026-01-19 05:40:00+00:00,90876.875000
2026-01-19 05:45:00+00:00,90804.992188
2026-01-19 05:50:00+00:00,90734.546875
2026-01-19 05:55:00+00:00,90665.359375
2026-01-19 06:00:00+00:00,90597.429688
2026-01-19 06:05:00+00:00,90530.539062
2026-01-19 06:10:00+00:00,90464.562500
2026-01-19 06:15:00+00:00,90399.367188
2026-01-19 06:20:00+00:00,90334.804688
2026-01-19 06:25:00+00:00,90270.789062
2026-01-19 06:30:00+00:00,90207.257812
2026-01-19 06:35:00+00:00,90144.179688
2026-01-19 06:40:00+00:00,90081.585938
2026-01-19 06:45:00+00:00,90019.460938
2026-01-19 06:50:00+00:00,89957.835938
2026-01-19 06:55:00+00:00,89896.703125
2026-01-19 07:00:00+00:00,89836.054688
2026-01-19 07:05:00+00:00,89775.882812
2026-01-19 07:10:00+00:00,89716.179688
2026-01-19 07:15:00+00:00,89656.921875
2026-01-19 07:20:00+00:00,89598.093750
2026-01-19 07:25:00+00:00,89539.695312
2026-01-19 07:30:00+00:00,89481.718750
2026-01-19 07:35:00+00:00,89424.179688
