date,cost_prediction
2026-01-19 04:00:00+00:00,92654.664062
2026-01-19 04:05:00+00:00,92668.710938
2026-01-19 04:10:00+00:00,92685.000000
2026-01-19 04:15:00+00:00,92703.414062
2026-01-19 04:20:00+00:00,92723.390625
2026-01-19 04:25:00+00:00,92744.429688
2026-01-19 04:30:00+00:00,92766.046875
2026-01-19 04:35:00+00:00,92787.812500
2026-01-19 04:40:00+00:00,92809.546875
2026-01-19 04:45:00+00:00,92831.132812
2026-01-19 04:50:00+00:00,92852.523438
2026-01-19 04:55:00+00:00,92873.671875
2026-01-19 05:00:00+00:00,92894.523438
2026-01-19 05:05:00+00:00,92915.125000
2026-01-19 05:10:00+00:00,92935.500000
2026-01-19 05:15:00+00:00,92955.632812
2026-01-19 05:20:00+00:00,92975.507812
2026-01-19 05:25:00+00:00,92995.125000
2026-01-19 05:30:00+00:00,93014.492188
2026-01-19 05:35:00+00:00,93033.632812
2026-01-19 05:40:00+00:00,93052.546875
2026-01-19 05:45:00+00:00,93071.210938
2026-01-19 05:50:00+00:00,93089.656250
2026-01-19 05:55:00+00:00,93107.835938
2026-01-19 06:00:00+00:00,93125.890625
2026-01-19 06:05:00+00:00,93143.851562
2026-01-19 06:10:00+00:00,93161.726562
2026-01-19 06:15:00+00:00,93179.492188
2026-01-19 06:20:00+00:00,93197.125000
2026-01-19 06:25:00+00:00,93214.640625
2026-01-19 06:30:00+00:00,93232.023438
2026-01-19 06:35:00+00:00,93249.296875
2026-01-19 06:40:00+00:00,93266.453125
2026-01-19 06:45:00+00:00,93283.507812
2026-01-19 06:50:00+00:00,93300.460938
2026-01-19 06:55:00+00:00,93317.320312
2026-01-19 07:00:00+00:00,93334.078125
2026-01-19 07:05:00+00:00,93350.734375
2026-01-19 07:10:00+00:00,93367.312500
2026-01-19 07:15:00+00:00,93383.781250
2026-01-19 07:20:00+00:00,93400.148438
2026-01-19 07:25:00+00:00,93416.421875
2026-01-19 07:30:00+00:00,93432.601562
2026-01-19 07:35:00+00:00,93448.679688
2026-01-19 07:40:00+00:00,93464.664062
2026-01-19 07:45:00+00:00,93480.546875
2026-01-19 07:50:00+00:00,93496.335938
2026-01-19 07:55:00+00:00,93512.023438
2026-01-19 08:00:00+00:00,93527.609375
2026-01-19 08:05:00+00:00,93543.101562
2026-01-19 08:10:00+00:00,93558.484375
2026-01-19 08:15:00+00:00,93573.781250
2026-01-19 08:20:00+00:00,93588.984375
2026-01-19 08:25:00+00:00,93604.085938
2026-01-19 08:30:00+00:00,93619.093750
2026-01-19 08:35:00+00:00,93634.007812
2026-01-19 08:40:00+00:00,93648.812500
2026-01-19 08:45:00+00:00,93663.531250
2026-01-19 08:50:00+00:00,93678.156250
2026-01-19 08:55:00+00:00,93692.679688
2026-01-19 09:00:00+00:00,93707.117188
2026-01-19 09:05:00+00:00,93721.460938
2026-01-19 09:10:00+00:00,93735.703125
2026-01-19 09:15:00+00:00,93749.867188
2026-01-19 09:20:00+00:00,93763.929688
2026-01-19 09:25:00+00:00,93777.906250
2026-01-19 09:30:00+00:00,93791.781250
2026-01-19 09:35:00+00:00,93805.570312
2026-01-19 09:40:00+00:00,93819.273438
2026-01-19 09:45:00+00:00,93832.890625
2026-01-19 09:50:00+00:00,93846.406250
2026-01-19 09:55:00+00:00,93859.835938
2026-01-19 10:00:00+00:00,93873.171875
2026-01-19 10:05:00+00:00,93886.429688
2026-01-19 10:10:00+00:00,93899.601562
2026-01-19 10:15:00+00:00,93912.687500
2026-01-19 10:20:00+00:00,93925.687500
2026-01-19 10:25:00+00:00,93938.585938
2026-01-19 10:30:00+00:00,93951.406250
2026-01-19 10:35:00+00:00,93964.148438
2026-01-19 10:40:00+00:00,93976.804688
2026-01-19 10:45:00+00:00,93989.375000
2026-01-19 10:50:00+00:00,94001.859375
2026-01-19 10:55:00+00:00,94014.257812
2026-01-19 11:00:00+00:00,94026.578125
2026-01-19 11:05:00+00:00,94038.820312
2026-01-19 11:10:00+00:00,94050.976562
2026-01-19 11:15:00+00:00,94063.046875
2026-01-19 11:20:00+00:00,94075.039062
2026-01-19 11:25:00+00:00,94086.953125
2026-01-19 11:30:00+00:00,94098.789062
2026-01-19 11:35:00+00:00,94110.539062
2026-01-19 11:40:00+00:00,94122.210938
2026-01-19 11:45:00+00:00,94133.804688
2026-01-19 11:50:00+00:00,94145.328125
2026-01-19 11:55:00+00:00,94156.765625
2026-01-19 12:00:00+00:00,94168.125000
2026-01-19 12:05:00+00:00,94179.406250
2026-01-19 12:10:00+00:00,94190.617188
2026-01-19 12:15:00+00:00,94201.750000
2026-01-19 12:20:00+00:00,94212.812500
2026-01-19 12:25:00+00:00,94223.789062
2026-01-19 12:30:00+00:00,94234.695312
2026-01-19 12:35:00+00:00,94245.531250
2026-01-19 12:40:00+00:00,94256.289062
2026-01-19 12:45:00+00:00,94266.976562
2026-01-19 12:50:00+00:00,94277.593750
2026-01-19 12:55:00+00:00,94288.125000
2026-01-19 13:00:00+00:00,94298.601562
2026-01-19 13:05:00+00:00,94308.992188
2026-01-19 13:10:00+00:00,94319.320312
2026-01-19 13:15:00+00:00,94329.562500
2026-01-19 13:20:00+00:00,94339.750000
2026-01-19 13:25:00+00:00,94349.875000
2026-01-19 13:30:00+00:00,94359.914062
2026-01-19 13:35:00+00:00,94369.882812
2026-01-19 13:40:00+00:00,94379.789062
2026-01-19 13:45:00+00:00,94389.632812
2026-01-19 13:50:00+00:00,94399.398438
2026-01-19 13:55:00+00:00,94409.101562
2026-01-19 14:00:00+00:00,94418.734375
2026-01-19 14:05:00+00:00,94428.304688
2026-01-19 14:10:00+00:00,94437.804688
2026-01-19 14:15:00+00:00,94447.242188
2026-01-19 14:20:00+00:00,94456.617188
2026-01-19 14:25:00+00:00,94465.914062
2026-01-19 14:30:00+00:00,94475.156250
2026-01-19 14:35:00+00:00,94484.328125
2026-01-19 14:40:00+00:00,94493.445312
2026-01-19 14:45:00+00:00,94502.500000
2026-01-19 14:50:00+00:00,94511.484375
2026-01-19 14:55:00+00:00,94520.406250
2026-01-19 15:00:00+00:00,94529.273438
2026-01-19 15:05:00+00:00,94538.070312
2026-01-19 15:10:00+00:00,94546.812500
2026-01-19 15:15:00+00:00,94555.492188
2026-01-19 15:20:00+00:00,94564.109375
2026-01-19 15:25:00+00:00,94572.656250
2026-01-19 15:30:00+00:00,94581.164062
2026-01-19 15:35:00+00:00,94589.601562
2026-01-19 15:40:00+00:00,94597.968750
2026-01-19 15:45:00+00:00,94606.296875
2026-01-19 15:50:00+00:00,94614.554688
2026-01-19 15:55:00+00:00,94622.757812
2026-01-19 16:00:00+00:00,94630.906250
2026-01-19 16:05:00+00:00,94638.992188
2026-01-19 16:10:00+00:00,94647.015625
2026-01-19 16:15:00+00:00,94655.000000
2026-01-19 16:20:00+00:00,94662.921875
2026-01-19 16:25:00+00:00,94670.789062
2026-01-19 16:30:00+00:00,94678.593750
2026-01-19 16:35:00+00:00,94686.343750
2026-01-19 16:40:00+00:00,94694.046875
2026-01-19 16:45:00+00:00,94701.679688
2026-01-19 16:50:00+00:00,94709.265625
2026-01-19 16:55:00+00:00,94716.804688
2026-01-19 17:00:00+00:00,94724.281250
2026-01-19 17:05:00+00:00,94731.718750
2026-01-19 17:10:00+00:00,94739.093750
2026-01-19 17:15:00+00:00,94746.421875
2026-01-19 17:20:00+00:00,94753.695312
2026-01-19 17:25:00+00:00,94760.914062
2026-01-19 17:30:00+00:00,94768.085938
2026-01-19 17:35:00+00:00,94775.210938
2026-01-19 17:40:00+00:00,94782.273438
2026-01-19 17:45:00+00:00,94789.281250
2026-01-19 17:50:00+00:00,94796.250000
2026-01-19 17:55:00+00:00,94803.171875
2026-01-19 18:00:00+00:00,94810.039062
2026-01-19 18:05:00+00:00,94816.859375
2026-01-19 18:10:00+00:00,94823.632812
2026-01-19 18:15:00+00:00,94830.351562
2026-01-19 18:20:00+00:00,94837.031250
2026-01-19 18:25:00+00:00,94843.656250
2026-01-19 18:30:00+00:00,94850.234375
2026-01-19 18:35:00+00:00,94856.765625
2026-01-19 18:40:00+00:00,94863.257812
2026-01-19 18:45:00+00:00,94869.695312
2026-01-19 18:50:00+00:00,94876.085938
2026-01-19 18:55:00+00:00,94882.437500
2026-01-19 19:00:00+00:00,94888.734375
2026-01-19 19:05:00+00:00,94894.992188
2026-01-19 19:10:00+00:00,94901.203125
2026-01-19 19:15:00+00:00,94907.375000
2026-01-19 19:20:00+00:00,94913.500000
2026-01-19 19:25:00+00:00,94919.578125
2026-01-19 19:30:00+00:00,94925.617188
2026-01-19 19:35:00+00:00,94931.601562
2026-01-19 19:40:00+00:00,94937.554688
2026-01-19 19:45:00+00:00,94943.460938
2026-01-19 19:50:00+00:00,94949.335938
2026-01-19 19:55:00+00:00,94955.156250
2026-01-19 20:00:00+00:00,94960.937500
2026-01-19 20:05:00+00:00,94966.671875
2026-01-19 20:10:00+00:00,94972.367188
2026-01-19 20:15:00+00:00,94978.031250
2026-01-19 20:20:00+00:00,94983.648438
2026-01-19 20:25:00+00:00,94989.218750
2026-01-19 20:30:00+00:00,94994.757812
2026-01-19 20:35:00+00:00,95000.250000
2026-01-19 20:40:00+00:00,95005.703125
2026-01-19 20:45:00+00:00,95011.125000
2026-01-19 20:50:00+00:00,95016.500000
2026-01-19 20:55:00+00:00,95021.835938
2026-01-19 21:00:00+00:00,95027.132812
2026-01-19 21:05:00+00:00,95032.390625
2026-01-19 21:10:00+00:00,95037.617188
2026-01-19 21:15:00+00:00,95042.796875
2026-01-19 21:20:00+00:00,95047.937500
2026-01-19 21:25:00+00:00,95053.054688
2026-01-19 21:30:00+00:00,95058.125000
2026-01-19 21:35:00+00:00,95063.164062
2026-01-19 21:40:00+00:00,95068.164062
2026-01-19 21:45:00+00:00,95073.125000
2026-01-19 21:50:00+00:00,95078.062500
