date,cost_prediction
2026-01-19 04:00:00+00:00,92590.609375
2026-01-19 04:05:00+00:00,92775.281250
2026-01-19 04:10:00+00:00,92861.023438
2026-01-19 04:15:00+00:00,92921.484375
2026-01-19 04:20:00+00:00,93175.695312
2026-01-19 04:25:00+00:00,93218.390625
2026-01-19 04:30:00+00:00,93353.281250
2026-01-19 04:35:00+00:00,93470.437500
2026-01-19 04:40:00+00:00,93465.609375
2026-01-19 04:45:00+00:00,93483.492188
2026-01-19 04:50:00+00:00,93398.929688
2026-01-19 04:55:00+00:00,93323.546875
2026-01-19 05:00:00+00:00,93397.445312
2026-01-19 05:05:00+00:00,93331.851562
2026-01-19 05:10:00+00:00,93633.406250
2026-01-19 05:15:00+00:00,93509.890625
2026-01-19 05:20:00+00:00,93597.273438
2026-01-19 05:25:00+00:00,93582.179688
2026-01-19 05:30:00+00:00,93590.531250
2026-01-19 05:35:00+00:00,93638.921875
2026-01-19 05:40:00+00:00,93729.617188
2026-01-19 05:45:00+00:00,93762.109375
2026-01-19 05:50:00+00:00,93902.289062
2026-01-19 05:55:00+00:00,93917.640625
2026-01-19 06:00:00+00:00,93866.656250
2026-01-19 06:05:00+00:00,94096.351562
2026-01-19 06:10:00+00:00,94082.046875
2026-01-19 06:15:00+00:00,94458.804688
2026-01-19 06:20:00+00:00,94734.515625
2026-01-19 06:25:00+00:00,94874.312500
2026-01-19 06:30:00+00:00,94971.593750
2026-01-19 06:35:00+00:00,94984.085938
2026-01-19 06:40:00+00:00,95042.984375
2026-01-19 06:45:00+00:00,95313.750000
2026-01-19 06:50:00+00:00,95418.898438
2026-01-19 06:55:00+00:00,95440.515625
2026-01-19 07:00:00+00:00,95420.437500
2026-01-19 07:05:00+00:00,95342.164062
2026-01-19 07:10:00+00:00,95209.148438
2026-01-19 07:15:00+00:00,95232.132812
2026-01-19 07:20:00+00:00,95269.726562
2026-01-19 07:25:00+00:00,95644.382812
2026-01-19 07:30:00+00:00,95817.570312
2026-01-19 07:35:00+00:00,95781.507812
2026-01-19 07:40:00+00:00,95897.953125
2026-01-19 07:45:00+00:00,96040.390625
2026-01-19 07:50:00+00:00,96041.164062
2026-01-19 07:55:00+00:00,96210.789062
2026-01-19 08:00:00+00:00,96274.625000
2026-01-19 08:05:00+00:00,96093.171875
2026-01-19 08:10:00+00:00,96180.039062
2026-01-19 08:15:00+00:00,96035.484375
2026-01-19 08:20:00+00:00,95969.960938
2026-01-19 08:25:00+00:00,95866.320312
2026-01-19 08:30:00+00:00,95973.976562
2026-01-19 08:35:00+00:00,96080.304688
2026-01-19 08:40:00+00:00,96020.812500
2026-01-19 08:45:00+00:00,96009.218750
2026-01-19 08:50:00+00:00,95981.671875
2026-01-19 08:55:00+00:00,96066.359375
2026-01-19 09:00:00+00:00,96273.414062
2026-01-19 09:05:00+00:00,96204.554688
2026-01-19 09:10:00+00:00,96052.234375
2026-01-19 09:15:00+00:00,96174.804688
2026-01-19 09:20:00+00:00,96179.867188
2026-01-19 09:25:00+00:00,96309.578125
2026-01-19 09:30:00+00:00,96291.250000
2026-01-19 09:35:00+00:00,96497.195312
2026-01-19 09:40:00+00:00,96465.398438
2026-01-19 09:45:00+00:00,96643.351562
2026-01-19 09:50:00+00:00,96611.531250
2026-01-19 09:55:00+00:00,96589.632812
2026-01-19 10:00:00+00:00,96608.359375
2026-01-19 10:05:00+00:00,96722.828125
2026-01-19 10:10:00+00:00,96661.718750
2026-01-19 10:15:00+00:00,96649.437500
2026-01-19 10:20:00+00:00,96616.265625
2026-01-19 10:25:00+00:00,96557.242188
2026-01-19 10:30:00+00:00,96690.617188
2026-01-19 10:35:00+00:00,96526.742188
2026-01-19 10:40:00+00:00,96506.390625
2026-01-19 10:45:00+00:00,96519.507812
2026-01-19 10:50:00+00:00,96553.656250
2026-01-19 10:55:00+00:00,96712.226562
2026-01-19 11:00:00+00:00,96687.500000
2026-01-19 11:05:00+00:00,96720.210938
2026-01-19 11:10:00+00:00,96736.578125
2026-01-19 11:15:00+00:00,96770.171875
2026-01-19 11:20:00+00:00,96796.468750
2026-01-19 11:25:00+00:00,96859.898438
2026-01-19 11:30:00+00:00,96987.343750
2026-01-19 11:35:00+00:00,96840.585938
2026-01-19 11:40:00+00:00,96980.250000
2026-01-19 11:45:00+00:00,96970.468750
2026-01-19 11:50:00+00:00,96952.445312
2026-01-19 11:55:00+00:00,96761.679688
2026-01-19 12:00:00+00:00,96831.554688
2026-01-19 12:05:00+00:00,96850.937500
2026-01-19 12:10:00+00:00,96873.804688
2026-01-19 12:15:00+00:00,96769.718750
2026-01-19 12:20:00+00:00,96576.835938
2026-01-19 12:25:00+00:00,96633.015625
2026-01-19 12:30:00+00:00,96606.054688
2026-01-19 12:35:00+00:00,96587.179688
2026-01-19 12:40:00+00:00,96540.898438
2026-01-19 12:45:00+00:00,96470.101562
2026-01-19 12:50:00+00:00,96775.421875
2026-01-19 12:55:00+00:00,96715.289062
2026-01-19 13:00:00+00:00,96704.023438
2026-01-19 13:05:00+00:00,96770.382812
2026-01-19 13:10:00+00:00,96815.039062
2026-01-19 13:15:00+00:00,96838.750000
2026-01-19 13:20:00+00:00,97145.335938
2026-01-19 13:25:00+00:00,97258.539062
2026-01-19 13:30:00+00:00,97386.835938
2026-01-19 13:35:00+00:00,97429.257812
2026-01-19 13:40:00+00:00,97367.203125
2026-01-19 13:45:00+00:00,97428.296875
2026-01-19 13:50:00+00:00,97580.437500
2026-01-19 13:55:00+00:00,97424.164062
2026-01-19 14:00:00+00:00,97553.835938
2026-01-19 14:05:00+00:00,97515.625000
2026-01-19 14:10:00+00:00,97529.289062
2026-01-19 14:15:00+00:00,97366.109375
2026-01-19 14:20:00+00:00,97546.898438
2026-01-19 14:25:00+00:00,97522.507812
2026-01-19 14:30:00+00:00,97585.625000
2026-01-19 14:35:00+00:00,97585.781250
2026-01-19 14:40:00+00:00,97617.468750
2026-01-19 14:45:00+00:00,97755.882812
2026-01-19 14:50:00+00:00,97893.000000
2026-01-19 14:55:00+00:00,97834.312500
2026-01-19 15:00:00+00:00,97731.632812
2026-01-19 15:05:00+00:00,97760.273438
2026-01-19 15:10:00+00:00,97663.328125
2026-01-19 15:15:00+00:00,97680.351562
2026-01-19 15:20:00+00:00,97663.695312
2026-01-19 15:25:00+00:00,97688.312500
2026-01-19 15:30:00+00:00,97819.390625
2026-01-19 15:35:00+00:00,97941.851562
2026-01-19 15:40:00+00:00,98033.007812
2026-01-19 15:45:00+00:00,98130.296875
2026-01-19 15:50:00+00:00,98176.515625
2026-01-19 15:55:00+00:00,98170.070312
2026-01-19 16:00:00+00:00,97941.609375
2026-01-19 16:05:00+00:00,98090.210938
2026-01-19 16:10:00+00:00,98246.703125
2026-01-19 16:15:00+00:00,98284.515625
2026-01-19 16:20:00+00:00,98374.515625
2026-01-19 16:25:00+00:00,98254.156250
2026-01-19 16:30:00+00:00,98268.671875
2026-01-19 16:35:00+00:00,98429.429688
2026-01-19 16:40:00+00:00,98120.812500
2026-01-19 16:45:00+00:00,98104.187500
2026-01-19 16:50:00+00:00,98028.828125
2026-01-19 16:55:00+00:00,98087.789062
2026-01-19 17:00:00+00:00,98235.796875
2026-01-19 17:05:00+00:00,98103.515625
2026-01-19 17:10:00+00:00,98159.578125
2026-01-19 17:15:00+00:00,98141.937500
2026-01-19 17:20:00+00:00,98095.796875
2026-01-19 17:25:00+00:00,98194.804688
2026-01-19 17:30:00+00:00,98105.648438
2026-01-19 17:35:00+00:00,98177.148438
2026-01-19 17:40:00+00:00,98044.164062
2026-01-19 17:45:00+00:00,98008.453125
2026-01-19 17:50:00+00:00,98218.937500
2026-01-19 17:55:00+00:00,98209.695312
2026-01-19 18:00:00+00:00,98087.632812
2026-01-19 18:05:00+00:00,98193.226562
2026-01-19 18:10:00+00:00,98263.726562
2026-01-19 18:15:00+00:00,98138.742188
2026-01-19 18:20:00+00:00,98135.687500
2026-01-19 18:25:00+00:00,98018.234375
2026-01-19 18:30:00+00:00,98117.875000
2026-01-19 18:35:00+00:00,98090.210938
2026-01-19 18:40:00+00:00,98296.289062
2026-01-19 18:45:00+00:00,98112.781250
2026-01-19 18:50:00+00:00,98072.726562
2026-01-19 18:55:00+00:00,98048.609375
2026-01-19 19:00:00+00:00,98101.820312
2026-01-19 19:05:00+00:00,98231.781250
2026-01-19 19:10:00+00:00,98073.960938
2026-01-19 19:15:00+00:00,98162.632812
2026-01-19 19:20:00+00:00,98281.257812
2026-01-19 19:25:00+00:00,98312.484375
2026-01-19 19:30:00+00:00,98441.906250
2026-01-19 19:35:00+00:00,98248.210938
2026-01-19 19:40:00+00:00,98385.304688
2026-01-19 19:45:00+00:00,98267.539062
2026-01-19 19:50:00+00:00,98143.015625
2026-01-19 19:55:00+00:00,98026.132812
2026-01-19 20:00:00+00:00,98177.281250
2026-01-19 20:05:00+00:00,98293.523438
2026-01-19 20:10:00+00:00,98292.281250
2026-01-19 20:15:00+00:00,98194.648438
2026-01-19 20:20:00+00:00,98220.757812
2026-01-19 20:25:00+00:00,98201.687500
2026-01-19 20:30:00+00:00,98252.375000
2026-01-19 20:35:00+00:00,98290.812500
2026-01-19 20:40:00+00:00,98241.625000
2026-01-19 20:45:00+00:00,98209.953125
2026-01-19 20:50:00+00:00,98194.437500
2026-01-19 20:55:00+00:00,98347.367188
2026-01-19 21:00:00+00:00,98386.085938
2026-01-19 21:05:00+00:00,98502.296875
2026-01-19 21:10:00+00:00,98696.320312
2026-01-19 21:15:00+00:00,98756.289062
2026-01-19 21:20:00+00:00,98807.171875
2026-01-19 21:25:00+00:00,98802.070312
2026-01-19 21:30:00+00:00,98821.570312
2026-01-19 21:35:00+00:00,98971.648438
2026-01-19 21:40:00+00:00,99007.359375
2026-01-19 21:45:00+00:00,98898.742188
2026-01-19 21:50:00+00:00,98956.562500
2026-01-19 21:55:00+00:00,98892.500000
2026-01-19 22:00:00+00:00,99048.515625
2026-01-19 22:05:00+00:00,99120.882812
2026-01-19 22:10:00+00:00,99048.773438
2026-01-19 22:15:00+00:00,99182.062500
2026-01-19 22:20:00+00:00,99138.015625
2026-01-19 22:25:00+00:00,99025.890625
2026-01-19 22:30:00+00:00,98832.429688
2026-01-19 22:35:00+00:00,98795.226562
