date,cost_prediction
2026-01-19 04:00:00+00:00,92770.554688
2026-01-19 04:05:00+00:00,92730.578125
2026-01-19 04:10:00+00:00,92600.804688
2026-01-19 04:15:00+00:00,92702.171875
2026-01-19 04:20:00+00:00,92555.031250
2026-01-19 04:25:00+00:00,92660.367188
2026-01-19 04:30:00+00:00,92565.281250
2026-01-19 04:35:00+00:00,92619.296875
2026-01-19 04:40:00+00:00,92577.523438
2026-01-19 04:45:00+00:00,92448.984375
2026-01-19 04:50:00+00:00,92413.132812
2026-01-19 04:55:00+00:00,92409.023438
2026-01-19 05:00:00+00:00,92529.781250
2026-01-19 05:05:00+00:00,92529.000000
2026-01-19 05:10:00+00:00,92439.554688
2026-01-19 05:15:00+00:00,92623.101562
2026-01-19 05:20:00+00:00,92715.687500
2026-01-19 05:25:00+00:00,92787.656250
2026-01-19 05:30:00+00:00,92858.085938
2026-01-19 05:35:00+00:00,92668.210938
2026-01-19 05:40:00+00:00,92610.796875
2026-01-19 05:45:00+00:00,92499.929688
2026-01-19 05:50:00+00:00,92466.710938
2026-01-19 05:55:00+00:00,92588.296875
2026-01-19 06:00:00+00:00,92555.945312
2026-01-19 06:05:00+00:00,92432.343750
2026-01-19 06:10:00+00:00,92423.945312
2026-01-19 06:15:00+00:00,92528.796875
2026-01-19 06:20:00+00:00,92427.195312
2026-01-19 06:25:00+00:00,92590.882812
2026-01-19 06:30:00+00:00,92672.171875
2026-01-19 06:35:00+00:00,92652.453125
2026-01-19 06:40:00+00:00,92712.992188
2026-01-19 06:45:00+00:00,92850.414062
2026-01-19 06:50:00+00:00,92757.210938
2026-01-19 06:55:00+00:00,92947.585938
2026-01-19 07:00:00+00:00,92788.882812
2026-01-19 07:05:00+00:00,92689.804688
2026-01-19 07:10:00+00:00,92832.382812
2026-01-19 07:15:00+00:00,92787.601562
2026-01-19 07:20:00+00:00,92846.281250
2026-01-19 07:25:00+00:00,92776.125000
2026-01-19 07:30:00+00:00,92770.320312
2026-01-19 07:35:00+00:00,92896.882812
2026-01-19 07:40:00+00:00,93055.632812
2026-01-19 07:45:00+00:00,93009.375000
2026-01-19 07:50:00+00:00,92858.375000
2026-01-19 07:55:00+00:00,92817.156250
2026-01-19 08:00:00+00:00,92633.226562
2026-01-19 08:05:00+00:00,92594.679688
2026-01-19 08:10:00+00:00,92845.203125
2026-01-19 08:15:00+00:00,92743.328125
2026-01-19 08:20:00+00:00,92712.304688
2026-01-19 08:25:00+00:00,92910.789062
2026-01-19 08:30:00+00:00,92837.289062
2026-01-19 08:35:00+00:00,93115.468750
2026-01-19 08:40:00+00:00,92983.328125
2026-01-19 08:45:00+00:00,92995.203125
2026-01-19 08:50:00+00:00,92909.093750
2026-01-19 08:55:00+00:00,92844.460938
2026-01-19 09:00:00+00:00,92874.804688
2026-01-19 09:05:00+00:00,92814.492188
2026-01-19 09:10:00+00:00,92886.085938
2026-01-19 09:15:00+00:00,92851.437500
2026-01-19 09:20:00+00:00,92905.429688
2026-01-19 09:25:00+00:00,92893.265625
2026-01-19 09:30:00+00:00,92969.953125
2026-01-19 09:35:00+00:00,93005.531250
2026-01-19 09:40:00+00:00,93075.757812
2026-01-19 09:45:00+00:00,93101.976562
2026-01-19 09:50:00+00:00,93087.234375
2026-01-19 09:55:00+00:00,92849.242188
2026-01-19 10:00:00+00:00,92823.406250
2026-01-19 10:05:00+00:00,92764.296875
2026-01-19 10:10:00+00:00,92815.992188
2026-01-19 10:15:00+00:00,92926.328125
2026-01-19 10:20:00+00:00,93011.085938
2026-01-19 10:25:00+00:00,93054.710938
2026-01-19 10:30:00+00:00,93066.515625
2026-01-19 10:35:00+00:00,93158.242188
2026-01-19 10:40:00+00:00,93357.765625
2026-01-19 10:45:00+00:00,93408.492188
2026-01-19 10:50:00+00:00,93230.562500
2026-01-19 10:55:00+00:00,93196.484375
2026-01-19 11:00:00+00:00,93388.531250
2026-01-19 11:05:00+00:00,93236.656250
2026-01-19 11:10:00+00:00,93239.203125
2026-01-19 11:15:00+00:00,93330.117188
2026-01-19 11:20:00+00:00,93317.601562
2026-01-19 11:25:00+00:00,93160.195312
2026-01-19 11:30:00+00:00,93175.218750
2026-01-19 11:35:00+00:00,93063.828125
2026-01-19 11:40:00+00:00,93152.445312
2026-01-19 11:45:00+00:00,93090.781250
2026-01-19 11:50:00+00:00,92989.468750
2026-01-19 11:55:00+00:00,93061.335938
2026-01-19 12:00:00+00:00,93105.164062
2026-01-19 12:05:00+00:00,93078.015625
2026-01-19 12:10:00+00:00,93195.023438
2026-01-19 12:15:00+00:00,93224.398438
2026-01-19 12:20:00+00:00,93330.664062
2026-01-19 12:25:00+00:00,93383.656250
2026-01-19 12:30:00+00:00,93506.476562
2026-01-19 12:35:00+00:00,93693.796875
2026-01-19 12:40:00+00:00,93772.023438
2026-01-19 12:45:00+00:00,93626.187500
2026-01-19 12:50:00+00:00,93658.070312
2026-01-19 12:55:00+00:00,93512.343750
2026-01-19 13:00:00+00:00,93533.625000
2026-01-19 13:05:00+00:00,93453.500000
2026-01-19 13:10:00+00:00,93330.460938
2026-01-19 13:15:00+00:00,93564.414062
2026-01-19 13:20:00+00:00,93578.968750
2026-01-19 13:25:00+00:00,93745.953125
2026-01-19 13:30:00+00:00,93715.929688
2026-01-19 13:35:00+00:00,93780.460938
2026-01-19 13:40:00+00:00,93962.007812
2026-01-19 13:45:00+00:00,94052.250000
2026-01-19 13:50:00+00:00,94010.375000
2026-01-19 13:55:00+00:00,94165.601562
2026-01-19 14:00:00+00:00,94129.921875
2026-01-19 14:05:00+00:00,94412.539062
2026-01-19 14:10:00+00:00,94439.187500
2026-01-19 14:15:00+00:00,94408.710938
2026-01-19 14:20:00+00:00,94426.187500
2026-01-19 14:25:00+00:00,94506.445312
2026-01-19 14:30:00+00:00,94313.320312
2026-01-19 14:35:00+00:00,94291.476562
2026-01-19 14:40:00+00:00,94267.093750
2026-01-19 14:45:00+00:00,94029.734375
2026-01-19 14:50:00+00:00,94240.109375
2026-01-19 14:55:00+00:00,94136.781250
2026-01-19 15:00:00+00:00,94475.078125
2026-01-19 15:05:00+00:00,94418.507812
2026-01-19 15:10:00+00:00,94624.281250
2026-01-19 15:15:00+00:00,94607.023438
2026-01-19 15:20:00+00:00,94739.882812
2026-01-19 15:25:00+00:00,94931.898438
2026-01-19 15:30:00+00:00,94714.023438
2026-01-19 15:35:00+00:00,94760.601562
2026-01-19 15:40:00+00:00,94683.867188
2026-01-19 15:45:00+00:00,94884.656250
2026-01-19 15:50:00+00:00,94957.210938
2026-01-19 15:55:00+00:00,95052.000000
2026-01-19 16:00:00+00:00,94905.695312
2026-01-19 16:05:00+00:00,94811.164062
2026-01-19 16:10:00+00:00,94840.546875
2026-01-19 16:15:00+00:00,94854.851562
2026-01-19 16:20:00+00:00,94877.820312
2026-01-19 16:25:00+00:00,95027.500000
2026-01-19 16:30:00+00:00,95193.351562
2026-01-19 16:35:00+00:00,95222.578125
2026-01-19 16:40:00+00:00,95221.835938
2026-01-19 16:45:00+00:00,95170.468750
2026-01-19 16:50:00+00:00,95391.382812
2026-01-19 16:55:00+00:00,95548.765625
2026-01-19 17:00:00+00:00,95513.117188
2026-01-19 17:05:00+00:00,95439.554688
2026-01-19 17:10:00+00:00,95436.750000
2026-01-19 17:15:00+00:00,95510.546875
2026-01-19 17:20:00+00:00,95404.429688
2026-01-19 17:25:00+00:00,95366.320312
2026-01-19 17:30:00+00:00,95702.187500
2026-01-19 17:35:00+00:00,95797.203125
2026-01-19 17:40:00+00:00,95875.101562
2026-01-19 17:45:00+00:00,96239.453125
2026-01-19 17:50:00+00:00,96374.281250
2026-01-19 17:55:00+00:00,96522.406250
2026-01-19 18:00:00+00:00,96410.085938
2026-01-19 18:05:00+00:00,96479.437500
2026-01-19 18:10:00+00:00,96530.023438
2026-01-19 18:15:00+00:00,96532.546875
2026-01-19 18:20:00+00:00,96754.859375
2026-01-19 18:25:00+00:00,96707.351562
2026-01-19 18:30:00+00:00,96702.429688
2026-01-19 18:35:00+00:00,96776.039062
2026-01-19 18:40:00+00:00,96976.953125
2026-01-19 18:45:00+00:00,96905.757812
2026-01-19 18:50:00+00:00,96687.929688
2026-01-19 18:55:00+00:00,96736.023438
2026-01-19 19:00:00+00:00,96773.375000
2026-01-19 19:05:00+00:00,96619.218750
2026-01-19 19:10:00+00:00,96694.828125
2026-01-19 19:15:00+00:00,96891.164062
2026-01-19 19:20:00+00:00,97151.203125
2026-01-19 19:25:00+00:00,97229.687500
2026-01-19 19:30:00+00:00,96923.921875
2026-01-19 19:35:00+00:00,97029.617188
2026-01-19 19:40:00+00:00,96968.812500
2026-01-19 19:45:00+00:00,96909.281250
2026-01-19 19:50:00+00:00,96937.843750
2026-01-19 19:55:00+00:00,96913.070312
2026-01-19 20:00:00+00:00,97159.453125
2026-01-19 20:05:00+00:00,97186.882812
2026-01-19 20:10:00+00:00,96996.171875
2026-01-19 20:15:00+00:00,97301.437500
2026-01-19 20:20:00+00:00,97309.492188
2026-01-19 20:25:00+00:00,97225.640625
2026-01-19 20:30:00+00:00,97257.585938
2026-01-19 20:35:00+00:00,97076.906250
2026-01-19 20:40:00+00:00,97353.625000
2026-01-19 20:45:00+00:00,97257.132812
2026-01-19 20:50:00+00:00,97169.718750
2026-01-19 20:55:00+00:00,97211.992188
2026-01-19 21:00:00+00:00,97278.640625
2026-01-19 21:05:00+00:00,97218.460938
2026-01-19 21:10:00+00:00,97276.117188
2026-01-19 21:15:00+00:00,97390.968750
2026-01-19 21:20:00+00:00,97439.664062
2026-01-19 21:25:00+00:00,97435.734375
2026-01-19 21:30:00+00:00,97573.320312
2026-01-19 21:35:00+00:00,97469.664062
2026-01-19 21:40:00+00:00,97405.109375
2026-01-19 21:45:00+00:00,97338.164062
2026-01-19 21:50:00+00:00,97262.093750
2026-01-19 21:55:00+00:00,97278.828125
2026-01-19 22:00:00+00:00,97213.312500
2026-01-19 22:05:00+00:00,97412.562500
2026-01-19 22:10:00+00:00,97322.132812
2026-01-19 22:15:00+00:00,97568.039062
2026-01-19 22:20:00+00:00,97560.351562
2026-01-19 22:25:00+00:00,97596.140625
2026-01-19 22:30:00+00:00,97644.929688
2026-01-19 22:35:00+00:00,97701.937500
2026-01-19 22:40:00+00:00,97458.382812
2026-01-19 22:45:00+00:00,97558.015625
2026-01-19 22:50:00+00:00,97365.156250
2026-01-19 22:55:00+00:00,97607.570312
2026-01-19 23:00:00+00:00,97694.250000
2026-01-19 23:05:00+00:00,97548.632812
2026-01-19 23:10:00+00:00,97462.992188
2026-01-19 23:15:00+00:00,97536.906250
2026-01-19 23:20:00+00:00,97480.296875
2026-01-19 23:25:00+00:00,97496.304688
2026-01-19 23:30:00+00:00,97789.531250
2026-01-19 23:35:00+00:00,97670.203125
2026-01-19 23:40:00+00:00,97581.046875
2026-01-19 23:45:00+00:00,97768.343750
2026-01-19 23:50:00+00:00,97734.281250
2026-01-19 23:55:00+00:00,97852.742188
