date,cost_prediction
2026-01-19 04:00:00+00:00,92714.859375
2026-01-19 04:05:00+00:00,92676.265625
2026-01-19 04:10:00+00:00,92675.710938
2026-01-19 04:15:00+00:00,92669.203125
2026-01-19 04:20:00+00:00,92431.757812
2026-01-19 04:25:00+00:00,92531.984375
2026-01-19 04:30:00+00:00,92403.492188
2026-01-19 04:35:00+00:00,92319.867188
2026-01-19 04:40:00+00:00,92488.843750
2026-01-19 04:45:00+00:00,92607.781250
2026-01-19 04:50:00+00:00,92706.390625
2026-01-19 04:55:00+00:00,92828.671875
2026-01-19 05:00:00+00:00,92976.632812
2026-01-19 05:05:00+00:00,92853.632812
2026-01-19 05:10:00+00:00,92947.015625
2026-01-19 05:15:00+00:00,92961.000000
2026-01-19 05:20:00+00:00,93062.789062
2026-01-19 05:25:00+00:00,93040.460938
2026-01-19 05:30:00+00:00,92890.375000
2026-01-19 05:35:00+00:00,93097.273438
2026-01-19 05:40:00+00:00,93106.664062
2026-01-19 05:45:00+00:00,93170.421875
2026-01-19 05:50:00+00:00,93173.828125
2026-01-19 05:55:00+00:00,93308.960938
2026-01-19 06:00:00+00:00,93553.257812
2026-01-19 06:05:00+00:00,93390.679688
2026-01-19 06:10:00+00:00,93494.218750
2026-01-19 06:15:00+00:00,93596.250000
2026-01-19 06:20:00+00:00,93375.210938
2026-01-19 06:25:00+00:00,93613.531250
2026-01-19 06:30:00+00:00,93538.851562
2026-01-19 06:35:00+00:00,93677.359375
2026-01-19 06:40:00+00:00,93651.539062
2026-01-19 06:45:00+00:00,93544.304688
2026-01-19 06:50:00+00:00,93815.273438
2026-01-19 06:55:00+00:00,93766.742188
2026-01-19 07:00:00+00:00,93782.468750
2026-01-19 07:05:00+00:00,93760.710938
2026-01-19 07:10:00+00:00,94002.718750
2026-01-19 07:15:00+00:00,94098.601562
2026-01-19 07:20:00+00:00,94408.234375
2026-01-19 07:25:00+00:00,94504.687500
2026-01-19 07:30:00+00:00,94501.539062
2026-01-19 07:35:00+00:00,94404.007812
2026-01-19 07:40:00+00:00,94394.882812
2026-01-19 07:45:00+00:00,94332.773438
2026-01-19 07:50:00+00:00,94354.367188
2026-01-19 07:55:00+00:00,94319.140625
2026-01-19 08:00:00+00:00,94097.882812
2026-01-19 08:05:00+00:00,94001.085938
2026-01-19 08:10:00+00:00,94038.507812
2026-01-19 08:15:00+00:00,94148.382812
2026-01-19 08:20:00+00:00,94191.500000
2026-01-19 08:25:00+00:00,94180.867188
2026-01-19 08:30:00+00:00,94060.335938
2026-01-19 08:35:00+00:00,94024.742188
2026-01-19 08:40:00+00:00,94148.882812
2026-01-19 08:45:00+00:00,94352.656250
2026-01-19 08:50:00+00:00,94442.171875
2026-01-19 08:55:00+00:00,94544.929688
2026-01-19 09:00:00+00:00,94298.945312
2026-01-19 09:05:00+00:00,94397.984375
2026-01-19 09:10:00+00:00,94310.085938
2026-01-19 09:15:00+00:00,94178.851562
2026-01-19 09:20:00+00:00,94278.656250
2026-01-19 09:25:00+00:00,94189.460938
2026-01-19 09:30:00+00:00,94072.945312
2026-01-19 09:35:00+00:00,94196.421875
2026-01-19 09:40:00+00:00,94091.406250
2026-01-19 09:45:00+00:00,94128.382812
2026-01-19 09:50:00+00:00,94161.140625
2026-01-19 09:55:00+00:00,94134.867188
2026-01-19 10:00:00+00:00,94097.476562
2026-01-19 10:05:00+00:00,94104.437500
2026-01-19 10:10:00+00:00,93981.593750
2026-01-19 10:15:00+00:00,93986.812500
2026-01-19 10:20:00+00:00,94016.882812
2026-01-19 10:25:00+00:00,94067.968750
2026-01-19 10:30:00+00:00,94001.195312
2026-01-19 10:35:00+00:00,93818.171875
2026-01-19 10:40:00+00:00,93791.429688
2026-01-19 10:45:00+00:00,93769.257812
2026-01-19 10:50:00+00:00,93803.359375
2026-01-19 10:55:00+00:00,93686.921875
2026-01-19 11:00:00+00:00,93499.835938
2026-01-19 11:05:00+00:00,93672.968750
2026-01-19 11:10:00+00:00,93803.500000
2026-01-19 11:15:00+00:00,93883.492188
2026-01-19 11:20:00+00:00,94012.101562
2026-01-19 11:25:00+00:00,93954.062500
2026-01-19 11:30:00+00:00,93861.179688
2026-01-19 11:35:00+00:00,93941.398438
2026-01-19 11:40:00+00:00,93973.687500
2026-01-19 11:45:00+00:00,93905.421875
2026-01-19 11:50:00+00:00,94000.281250
2026-01-19 11:55:00+00:00,94104.023438
2026-01-19 12:00:00+00:00,93968.562500
2026-01-19 12:05:00+00:00,94016.476562
2026-01-19 12:10:00+00:00,94092.343750
2026-01-19 12:15:00+00:00,94175.320312
2026-01-19 12:20:00+00:00,94213.906250
2026-01-19 12:25:00+00:00,94230.593750
2026-01-19 12:30:00+00:00,94226.117188
2026-01-19 12:35:00+00:00,94436.914062
2026-01-19 12:40:00+00:00,94566.250000
2026-01-19 12:45:00+00:00,94592.226562
2026-01-19 12:50:00+00:00,94615.710938
2026-01-19 12:55:00+00:00,94601.468750
2026-01-19 13:00:00+00:00,94684.421875
2026-01-19 13:05:00+00:00,94643.000000
2026-01-19 13:10:00+00:00,94764.804688
2026-01-19 13:15:00+00:00,94658.640625
2026-01-19 13:20:00+00:00,94801.687500
2026-01-19 13:25:00+00:00,94781.164062
2026-01-19 13:30:00+00:00,94768.460938
2026-01-19 13:35:00+00:00,94996.554688
2026-01-19 13:40:00+00:00,95112.718750
2026-01-19 13:45:00+00:00,95113.414062
2026-01-19 13:50:00+00:00,95152.445312
2026-01-19 13:55:00+00:00,95112.570312
2026-01-19 14:00:00+00:00,95114.882812
2026-01-19 14:05:00+00:00,95267.218750
2026-01-19 14:10:00+00:00,95236.507812
2026-01-19 14:15:00+00:00,95284.476562
2026-01-19 14:20:00+00:00,95085.843750
2026-01-19 14:25:00+00:00,95170.312500
2026-01-19 14:30:00+00:00,95289.296875
2026-01-19 14:35:00+00:00,95229.476562
2026-01-19 14:40:00+00:00,95008.015625
2026-01-19 14:45:00+00:00,94948.406250
2026-01-19 14:50:00+00:00,94920.875000
2026-01-19 14:55:00+00:00,95001.578125
2026-01-19 15:00:00+00:00,94974.757812
2026-01-19 15:05:00+00:00,95131.554688
2026-01-19 15:10:00+00:00,95192.398438
2026-01-19 15:15:00+00:00,95353.210938
2026-01-19 15:20:00+00:00,95379.578125
2026-01-19 15:25:00+00:00,95438.921875
2026-01-19 15:30:00+00:00,95354.203125
2026-01-19 15:35:00+00:00,95487.765625
2026-01-19 15:40:00+00:00,95527.351562
2026-01-19 15:45:00+00:00,95443.882812
2026-01-19 15:50:00+00:00,95366.859375
2026-01-19 15:55:00+00:00,95447.390625
2026-01-19 16:00:00+00:00,95575.007812
2026-01-19 16:05:00+00:00,95553.257812
2026-01-19 16:10:00+00:00,95531.781250
2026-01-19 16:15:00+00:00,95385.750000
2026-01-19 16:20:00+00:00,95512.523438
2026-01-19 16:25:00+00:00,95606.898438
2026-01-19 16:30:00+00:00,95747.078125
2026-01-19 16:35:00+00:00,95709.734375
2026-01-19 16:40:00+00:00,95713.218750
2026-01-19 16:45:00+00:00,95899.460938
2026-01-19 16:50:00+00:00,95914.515625
2026-01-19 16:55:00+00:00,95726.375000
2026-01-19 17:00:00+00:00,95641.390625
2026-01-19 17:05:00+00:00,95760.937500
2026-01-19 17:10:00+00:00,95819.382812
2026-01-19 17:15:00+00:00,95848.250000
2026-01-19 17:20:00+00:00,95874.804688
2026-01-19 17:25:00+00:00,95863.406250
2026-01-19 17:30:00+00:00,95811.179688
2026-01-19 17:35:00+00:00,95825.382812
2026-01-19 17:40:00+00:00,95838.679688
2026-01-19 17:45:00+00:00,95978.875000
2026-01-19 17:50:00+00:00,95904.367188
2026-01-19 17:55:00+00:00,96007.031250
2026-01-19 18:00:00+00:00,96218.226562
2026-01-19 18:05:00+00:00,96150.601562
2026-01-19 18:10:00+00:00,96133.664062
2026-01-19 18:15:00+00:00,96003.179688
2026-01-19 18:20:00+00:00,95928.570312
2026-01-19 18:25:00+00:00,96014.007812
2026-01-19 18:30:00+00:00,96075.289062
2026-01-19 18:35:00+00:00,96127.929688
2026-01-19 18:40:00+00:00,96323.335938
2026-01-19 18:45:00+00:00,96249.484375
2026-01-19 18:50:00+00:00,96264.156250
2026-01-19 18:55:00+00:00,96158.312500
2026-01-19 19:00:00+00:00,96404.632812
2026-01-19 19:05:00+00:00,96420.867188
2026-01-19 19:10:00+00:00,96465.132812
2026-01-19 19:15:00+00:00,96592.078125
2026-01-19 19:20:00+00:00,96737.789062
2026-01-19 19:25:00+00:00,96832.937500
2026-01-19 19:30:00+00:00,96745.796875
2026-01-19 19:35:00+00:00,96854.640625
2026-01-19 19:40:00+00:00,96590.953125
2026-01-19 19:45:00+00:00,96573.890625
2026-01-19 19:50:00+00:00,96363.492188
2026-01-19 19:55:00+00:00,96477.093750
2026-01-19 20:00:00+00:00,96473.015625
2026-01-19 20:05:00+00:00,96650.382812
2026-01-19 20:10:00+00:00,96549.656250
2026-01-19 20:15:00+00:00,96649.812500
2026-01-19 20:20:00+00:00,96614.578125
2026-01-19 20:25:00+00:00,96488.906250
2026-01-19 20:30:00+00:00,96403.289062
2026-01-19 20:35:00+00:00,96476.359375
2026-01-19 20:40:00+00:00,96489.507812
2026-01-19 20:45:00+00:00,96623.617188
2026-01-19 20:50:00+00:00,96560.906250
2026-01-19 20:55:00+00:00,96703.343750
2026-01-19 21:00:00+00:00,96727.156250
2026-01-19 21:05:00+00:00,96988.960938
2026-01-19 21:10:00+00:00,96899.132812
2026-01-19 21:15:00+00:00,97036.023438
2026-01-19 21:20:00+00:00,97082.921875
2026-01-19 21:25:00+00:00,97168.921875
2026-01-19 21:30:00+00:00,96955.437500
2026-01-19 21:35:00+00:00,96883.125000
2026-01-19 21:40:00+00:00,96737.890625
2026-01-19 21:45:00+00:00,96691.210938
2026-01-19 21:50:00+00:00,96498.007812
2026-01-19 21:55:00+00:00,96485.242188
2026-01-19 22:00:00+00:00,96407.132812
2026-01-19 22:05:00+00:00,96589.500000
2026-01-19 22:10:00+00:00,96731.851562
2026-01-19 22:15:00+00:00,96857.421875
2026-01-19 22:20:00+00:00,96945.773438
2026-01-19 22:25:00+00:00,96956.796875
2026-01-19 22:30:00+00:00,97080.945312
2026-01-19 22:35:00+00:00,97074.523438
2026-01-19 22:40:00+00:00,97004.164062
2026-01-19 22:45:00+00:00,96976.914062
2026-01-19 22:50:00+00:00,97089.851562
2026-01-19 22:55:00+00:00,97164.609375
2026-01-19 23:00:00+00:00,97107.421875
2026-01-19 23:05:00+00:00,97043.773438
2026-01-19 23:10:00+00:00,97149.523438
2026-01-19 23:15:00+00:00,97089.179688
2026-01-19 23:20:00+00:00,96966.039062
2026-01-19 23:25:00+00:00,96929.453125
2026-01-19 23:30:00+00:00,97019.882812
2026-01-19 23:35:00+00:00,97034.031250
2026-01-19 23:40:00+00:00,97130.820312
2026-01-19 23:45:00+00:00,97095.000000
2026-01-19 23:50:00+00:00,97318.718750
2026-01-19 23:55:00+00:00,97140.843750
