date,cost_prediction
2026-01-19 04:00:00+00:00,92536.406250
2026-01-19 04:05:00+00:00,92397.039062
2026-01-19 04:10:00+00:00,92487.203125
2026-01-19 04:15:00+00:00,92410.875000
2026-01-19 04:20:00+00:00,92398.398438
2026-01-19 04:25:00+00:00,92566.093750
2026-01-19 04:30:00+00:00,92895.000000
2026-01-19 04:35:00+00:00,92856.156250
2026-01-19 04:40:00+00:00,92844.945312
2026-01-19 04:45:00+00:00,92798.546875
2026-01-19 04:50:00+00:00,92834.421875
2026-01-19 04:55:00+00:00,92899.773438
2026-01-19 05:00:00+00:00,92891.335938
2026-01-19 05:05:00+00:00,92873.273438
2026-01-19 05:10:00+00:00,92853.734375
2026-01-19 05:15:00+00:00,92763.882812
2026-01-19 05:20:00+00:00,92844.023438
2026-01-19 05:25:00+00:00,92849.906250
2026-01-19 05:30:00+00:00,92919.000000
2026-01-19 05:35:00+00:00,92839.531250
2026-01-19 05:40:00+00:00,92712.296875
2026-01-19 05:45:00+00:00,92754.320312
2026-01-19 05:50:00+00:00,92622.000000
2026-01-19 05:55:00+00:00,92741.703125
2026-01-19 06:00:00+00:00,92826.179688
2026-01-19 06:05:00+00:00,92698.242188
2026-01-19 06:10:00+00:00,92585.046875
2026-01-19 06:15:00+00:00,92496.851562
2026-01-19 06:20:00+00:00,92315.382812
2026-01-19 06:25:00+00:00,92301.843750
2026-01-19 06:30:00+00:00,92432.570312
2026-01-19 06:35:00+00:00,92504.273438
2026-01-19 06:40:00+00:00,92562.031250
2026-01-19 06:45:00+00:00,92514.039062
2026-01-19 06:50:00+00:00,92471.914062
2026-01-19 06:55:00+00:00,92518.648438
2026-01-19 07:00:00+00:00,92442.320312
2026-01-19 07:05:00+00:00,92411.132812
2026-01-19 07:10:00+00:00,92164.109375
2026-01-19 07:15:00+00:00,92190.398438
2026-01-19 07:20:00+00:00,92312.648438
2026-01-19 07:25:00+00:00,92539.085938
2026-01-19 07:30:00+00:00,92428.757812
2026-01-19 07:35:00+00:00,92331.812500
2026-01-19 07:40:00+00:00,92306.585938
2026-01-19 07:45:00+00:00,92155.132812
2026-01-19 07:50:00+00:00,92295.085938
2026-01-19 07:55:00+00:00,92185.906250
2026-01-19 08:00:00+00:00,92308.382812
2026-01-19 08:05:00+00:00,92370.015625
2026-01-19 08:10:00+00:00,92378.718750
