date,cost_prediction
2026-01-19 04:00:00+00:00,92769.289062
2026-01-19 04:05:00+00:00,92534.859375
2026-01-19 04:10:00+00:00,92761.726562
2026-01-19 04:15:00+00:00,92428.632812
2026-01-19 04:20:00+00:00,92594.695312
2026-01-19 04:25:00+00:00,92658.656250
2026-01-19 04:30:00+00:00,92731.617188
2026-01-19 04:35:00+00:00,92268.085938
2026-01-19 04:40:00+00:00,92671.718750
2026-01-19 04:45:00+00:00,92667.679688
2026-01-19 04:50:00+00:00,92462.914062
2026-01-19 04:55:00+00:00,92608.843750
2026-01-19 05:00:00+00:00,92403.625000
2026-01-19 05:05:00+00:00,92742.203125
2026-01-19 05:10:00+00:00,92621.429688
2026-01-19 05:15:00+00:00,92730.195312
2026-01-19 05:20:00+00:00,92767.429688
2026-01-19 05:25:00+00:00,92654.382812
2026-01-19 05:30:00+00:00,92444.390625
2026-01-19 05:35:00+00:00,92575.257812
2026-01-19 05:40:00+00:00,92399.453125
2026-01-19 05:45:00+00:00,92522.226562
2026-01-19 05:50:00+00:00,92458.156250
2026-01-19 05:55:00+00:00,92556.054688
2026-01-19 06:00:00+00:00,92461.695312
2026-01-19 06:05:00+00:00,92662.343750
2026-01-19 06:10:00+00:00,92642.968750
2026-01-19 06:15:00+00:00,92582.890625
2026-01-19 06:20:00+00:00,92553.054688
2026-01-19 06:25:00+00:00,92579.960938
2026-01-19 06:30:00+00:00,92594.335938
2026-01-19 06:35:00+00:00,92514.585938
2026-01-19 06:40:00+00:00,92515.359375
2026-01-19 06:45:00+00:00,92570.117188
2026-01-19 06:50:00+00:00,92711.132812
2026-01-19 06:55:00+00:00,92627.226562
2026-01-19 07:00:00+00:00,92537.109375
2026-01-19 07:05:00+00:00,92733.750000
2026-01-19 07:10:00+00:00,92700.820312
2026-01-19 07:15:00+00:00,92580.546875
2026-01-19 07:20:00+00:00,92609.593750
2026-01-19 07:25:00+00:00,92828.601562
2026-01-19 07:30:00+00:00,92557.257812
2026-01-19 07:35:00+00:00,92667.718750
2026-01-19 07:40:00+00:00,92741.320312
2026-01-19 07:45:00+00:00,92583.343750
2026-01-19 07:50:00+00:00,92712.437500
2026-01-19 07:55:00+00:00,92520.914062
2026-01-19 08:00:00+00:00,92695.132812
2026-01-19 08:05:00+00:00,92503.820312
2026-01-19 08:10:00+00:00,92607.015625
2026-01-19 08:15:00+00:00,92603.242188
2026-01-19 08:20:00+00:00,92408.023438
2026-01-19 08:25:00+00:00,92694.359375
2026-01-19 08:30:00+00:00,92568.593750
2026-01-19 08:35:00+00:00,92486.671875
2026-01-19 08:40:00+00:00,92670.648438
2026-01-19 08:45:00+00:00,92712.054688
2026-01-19 08:50:00+00:00,92433.093750
2026-01-19 08:55:00+00:00,92599.093750
2026-01-19 09:00:00+00:00,92691.835938
2026-01-19 09:05:00+00:00,92673.039062
2026-01-19 09:10:00+00:00,92652.500000
2026-01-19 09:15:00+00:00,92433.453125
2026-01-19 09:20:00+00:00,92589.148438
2026-01-19 09:25:00+00:00,92726.101562
2026-01-19 09:30:00+00:00,92517.820312
2026-01-19 09:35:00+00:00,92606.851562
2026-01-19 09:40:00+00:00,92836.500000
2026-01-19 09:45:00+00:00,92708.835938
2026-01-19 09:50:00+00:00,92604.476562
2026-01-19 09:55:00+00:00,92481.593750
2026-01-19 10:00:00+00:00,92667.273438
2026-01-19 10:05:00+00:00,92731.039062
2026-01-19 10:10:00+00:00,92619.968750
2026-01-19 10:15:00+00:00,92620.687500
2026-01-19 10:20:00+00:00,92609.742188
2026-01-19 10:25:00+00:00,92508.851562
2026-01-19 10:30:00+00:00,92562.859375
2026-01-19 10:35:00+00:00,92701.015625
2026-01-19 10:40:00+00:00,92569.328125
2026-01-19 10:45:00+00:00,92618.062500
2026-01-19 10:50:00+00:00,92683.890625
2026-01-19 10:55:00+00:00,92595.101562
2026-01-19 11:00:00+00:00,92525.382812
2026-01-19 11:05:00+00:00,92679.140625
2026-01-19 11:10:00+00:00,92549.101562
