date,cost_prediction
2026-01-19 04:00:00+00:00,92668.789062
2026-01-19 04:05:00+00:00,92761.335938
2026-01-19 04:10:00+00:00,92554.085938
2026-01-19 04:15:00+00:00,92669.984375
2026-01-19 04:20:00+00:00,92661.179688
2026-01-19 04:25:00+00:00,92857.742188
2026-01-19 04:30:00+00:00,92443.500000
2026-01-19 04:35:00+00:00,92604.101562
2026-01-19 04:40:00+00:00,92776.085938
2026-01-19 04:45:00+00:00,92697.539062
2026-01-19 04:50:00+00:00,92730.179688
2026-01-19 04:55:00+00:00,92805.039062
2026-01-19 05:00:00+00:00,92621.007812
2026-01-19 05:05:00+00:00,92602.593750
2026-01-19 05:10:00+00:00,92654.507812
2026-01-19 05:15:00+00:00,92579.164062
2026-01-19 05:20:00+00:00,92709.617188
2026-01-19 05:25:00+00:00,92776.492188
2026-01-19 05:30:00+00:00,92790.656250
2026-01-19 05:35:00+00:00,92673.226562
2026-01-19 05:40:00+00:00,92787.914062
2026-01-19 05:45:00+00:00,92717.507812
2026-01-19 05:50:00+00:00,92580.484375
2026-01-19 05:55:00+00:00,92640.843750
2026-01-19 06:00:00+00:00,92590.703125
2026-01-19 06:05:00+00:00,92891.015625
2026-01-19 06:10:00+00:00,92647.328125
2026-01-19 06:15:00+00:00,92591.570312
2026-01-19 06:20:00+00:00,92562.085938
2026-01-19 06:25:00+00:00,92607.562500
2026-01-19 06:30:00+00:00,92677.703125
2026-01-19 06:35:00+00:00,92662.476562
2026-01-19 06:40:00+00:00,92978.835938
2026-01-19 06:45:00+00:00,92508.117188
2026-01-19 06:50:00+00:00,92793.257812
2026-01-19 06:55:00+00:00,92605.757812
2026-01-19 07:00:00+00:00,92577.710938
2026-01-19 07:05:00+00:00,92698.179688
2026-01-19 07:10:00+00:00,92661.992188
2026-01-19 07:15:00+00:00,92726.164062
2026-01-19 07:20:00+00:00,92617.796875
2026-01-19 07:25:00+00:00,92652.070312
2026-01-19 07:30:00+00:00,92695.257812
2026-01-19 07:35:00+00:00,92684.484375
2026-01-19 07:40:00+00:00,92777.906250
