date,cost_prediction
2026-01-19 04:00:00+00:00,92586.187500
2026-01-19 04:05:00+00:00,92577.140625
2026-01-19 04:10:00+00:00,92734.500000
2026-01-19 04:15:00+00:00,92388.554688
2026-01-19 04:20:00+00:00,92495.890625
2026-01-19 04:25:00+00:00,92282.203125
2026-01-19 04:30:00+00:00,92373.000000
2026-01-19 04:35:00+00:00,92689.984375
2026-01-19 04:40:00+00:00,92594.328125
2026-01-19 04:45:00+00:00,92648.398438
2026-01-19 04:50:00+00:00,92710.445312
2026-01-19 04:55:00+00:00,92457.054688
2026-01-19 05:00:00+00:00,92655.156250
2026-01-19 05:05:00+00:00,92402.476562
2026-01-19 05:10:00+00:00,92513.250000
2026-01-19 05:15:00+00:00,92524.671875
2026-01-19 05:20:00+00:00,92549.804688
2026-01-19 05:25:00+00:00,92523.195312
2026-01-19 05:30:00+00:00,92489.632812
2026-01-19 05:35:00+00:00,92659.218750
2026-01-19 05:40:00+00:00,92543.421875
2026-01-19 05:45:00+00:00,92421.234375
2026-01-19 05:50:00+00:00,92518.945312
2026-01-19 05:55:00+00:00,92492.664062
2026-01-19 06:00:00+00:00,92644.445312
2026-01-19 06:05:00+00:00,92521.695312
2026-01-19 06:10:00+00:00,92564.273438
2026-01-19 06:15:00+00:00,92559.796875
2026-01-19 06:20:00+00:00,92531.843750
2026-01-19 06:25:00+00:00,92621.500000
2026-01-19 06:30:00+00:00,92329.109375
2026-01-19 06:35:00+00:00,92546.804688
2026-01-19 06:40:00+00:00,92443.500000
2026-01-19 06:45:00+00:00,92481.296875
2026-01-19 06:50:00+00:00,92580.062500
2026-01-19 06:55:00+00:00,92702.539062
2026-01-19 07:00:00+00:00,92537.203125
2026-01-19 07:05:00+00:00,92494.023438
2026-01-19 07:10:00+00:00,92741.734375
2026-01-19 07:15:00+00:00,92347.312500
2026-01-19 07:20:00+00:00,92480.960938
2026-01-19 07:25:00+00:00,92666.882812
2026-01-19 07:30:00+00:00,92553.359375
2026-01-19 07:35:00+00:00,92691.656250
2026-01-19 07:40:00+00:00,92392.359375
2026-01-19 07:45:00+00:00,92599.937500
2026-01-19 07:50:00+00:00,92568.359375
2026-01-19 07:55:00+00:00,92591.390625
2026-01-19 08:00:00+00:00,92661.000000
2026-01-19 08:05:00+00:00,92606.812500
2026-01-19 08:10:00+00:00,92514.039062
2026-01-19 08:15:00+00:00,92517.875000
