date,cost_prediction
2026-01-19 04:00:00+00:00,92410.796875
2026-01-19 04:05:00+00:00,92864.242188
2026-01-19 04:10:00+00:00,92663.687500
2026-01-19 04:15:00+00:00,92633.257812
2026-01-19 04:20:00+00:00,92784.585938
2026-01-19 04:25:00+00:00,92584.945312
2026-01-19 04:30:00+00:00,92579.773438
2026-01-19 04:35:00+00:00,92550.468750
2026-01-19 04:40:00+00:00,92628.929688
2026-01-19 04:45:00+00:00,92622.015625
2026-01-19 04:50:00+00:00,92538.804688
2026-01-19 04:55:00+00:00,92683.945312
2026-01-19 05:00:00+00:00,92751.312500
2026-01-19 05:05:00+00:00,92761.914062
2026-01-19 05:10:00+00:00,92856.414062
2026-01-19 05:15:00+00:00,92697.835938
2026-01-19 05:20:00+00:00,92550.828125
2026-01-19 05:25:00+00:00,92728.117188
2026-01-19 05:30:00+00:00,92826.609375
2026-01-19 05:35:00+00:00,92593.265625
2026-01-19 05:40:00+00:00,92619.507812
2026-01-19 05:45:00+00:00,92569.734375
2026-01-19 05:50:00+00:00,92748.835938
2026-01-19 05:55:00+00:00,92801.984375
2026-01-19 06:00:00+00:00,92715.195312
2026-01-19 06:05:00+00:00,92878.875000
2026-01-19 06:10:00+00:00,92559.445312
2026-01-19 06:15:00+00:00,92754.265625
2026-01-19 06:20:00+00:00,92856.820312
2026-01-19 06:25:00+00:00,92630.031250
2026-01-19 06:30:00+00:00,92689.101562
2026-01-19 06:35:00+00:00,92511.070312
2026-01-19 06:40:00+00:00,92617.718750
2026-01-19 06:45:00+00:00,92673.218750
2026-01-19 06:50:00+00:00,92571.242188
2026-01-19 06:55:00+00:00,92561.210938
2026-01-19 07:00:00+00:00,92602.546875
2026-01-19 07:05:00+00:00,92644.515625
2026-01-19 07:10:00+00:00,92688.343750
2026-01-19 07:15:00+00:00,92699.968750
2026-01-19 07:20:00+00:00,92706.156250
2026-01-19 07:25:00+00:00,92603.492188
2026-01-19 07:30:00+00:00,92669.859375
2026-01-19 07:35:00+00:00,92706.195312
2026-01-19 07:40:00+00:00,92673.796875
2026-01-19 07:45:00+00:00,92773.328125
2026-01-19 07:50:00+00:00,92599.617188
2026-01-19 07:55:00+00:00,92582.687500
2026-01-19 08:00:00+00:00,92812.515625
2026-01-19 08:05:00+00:00,92552.000000
2026-01-19 08:10:00+00:00,92586.109375
2026-01-19 08:15:00+00:00,92702.015625
2026-01-19 08:20:00+00:00,92577.546875
2026-01-19 08:25:00+00:00,92880.265625
2026-01-19 08:30:00+00:00,92880.148438
2026-01-19 08:35:00+00:00,92676.773438
2026-01-19 08:40:00+00:00,92406.539062
2026-01-19 08:45:00+00:00,92577.164062
2026-01-19 08:50:00+00:00,92636.039062
2026-01-19 08:55:00+00:00,92876.273438
2026-01-19 09:00:00+00:00,92608.203125
2026-01-19 09:05:00+00:00,92701.656250
2026-01-19 09:10:00+00:00,92548.289062
2026-01-19 09:15:00+00:00,92726.546875
2026-01-19 09:20:00+00:00,92774.906250
2026-01-19 09:25:00+00:00,92620.234375
2026-01-19 09:30:00+00:00,92751.007812
2026-01-19 09:35:00+00:00,92599.812500
2026-01-19 09:40:00+00:00,92652.710938
2026-01-19 09:45:00+00:00,92836.632812
2026-01-19 09:50:00+00:00,92533.929688
2026-01-19 09:55:00+00:00,92562.421875
2026-01-19 10:00:00+00:00,92580.429688
2026-01-19 10:05:00+00:00,92405.289062
2026-01-19 10:10:00+00:00,92899.609375
2026-01-19 10:15:00+00:00,92746.382812
2026-01-19 10:20:00+00:00,92821.414062
2026-01-19 10:25:00+00:00,92571.921875
2026-01-19 10:30:00+00:00,92700.632812
2026-01-19 10:35:00+00:00,92780.914062
2026-01-19 10:40:00+00:00,92662.835938
2026-01-19 10:45:00+00:00,92774.296875
2026-01-19 10:50:00+00:00,92636.445312
2026-01-19 10:55:00+00:00,92465.210938
2026-01-19 11:00:00+00:00,92683.109375
2026-01-19 11:05:00+00:00,92524.882812
2026-01-19 11:10:00+00:00,92565.187500
2026-01-19 11:15:00+00:00,92616.828125
2026-01-19 11:20:00+00:00,92463.367188
2026-01-19 11:25:00+00:00,92730.335938
2026-01-19 11:30:00+00:00,92473.625000
2026-01-19 11:35:00+00:00,92798.210938
