date,cost_prediction
2026-01-19 04:00:00+00:00,92572.554688
2026-01-19 04:05:00+00:00,92609.429688
2026-01-19 04:10:00+00:00,92598.523438
2026-01-19 04:15:00+00:00,92614.507812
2026-01-19 04:20:00+00:00,92773.421875
2026-01-19 04:25:00+00:00,92466.929688
2026-01-19 04:30:00+00:00,92514.828125
2026-01-19 04:35:00+00:00,92756.343750
2026-01-19 04:40:00+00:00,92650.609375
2026-01-19 04:45:00+00:00,92710.593750
2026-01-19 04:50:00+00:00,92512.054688
2026-01-19 04:55:00+00:00,92533.585938
2026-01-19 05:00:00+00:00,92821.960938
2026-01-19 05:05:00+00:00,92537.195312
2026-01-19 05:10:00+00:00,92815.500000
2026-01-19 05:15:00+00:00,92679.992188
2026-01-19 05:20:00+00:00,92688.992188
2026-01-19 05:25:00+00:00,92340.195312
2026-01-19 05:30:00+00:00,92700.507812
2026-01-19 05:35:00+00:00,92596.992188
2026-01-19 05:40:00+00:00,92640.687500
2026-01-19 05:45:00+00:00,92573.804688
2026-01-19 05:50:00+00:00,92593.820312
2026-01-19 05:55:00+00:00,92859.468750
2026-01-19 06:00:00+00:00,92757.632812
2026-01-19 06:05:00+00:00,92770.554688
2026-01-19 06:10:00+00:00,92844.187500
2026-01-19 06:15:00+00:00,92525.429688
2026-01-19 06:20:00+00:00,92661.437500
2026-01-19 06:25:00+00:00,92675.992188
2026-01-19 06:30:00+00:00,92790.765625
2026-01-19 06:35:00+00:00,92588.117188
2026-01-19 06:40:00+00:00,92601.062500
2026-01-19 06:45:00+00:00,92628.789062
2026-01-19 06:50:00+00:00,92769.195312
2026-01-19 06:55:00+00:00,92492.539062
2026-01-19 07:00:00+00:00,92837.132812
2026-01-19 07:05:00+00:00,92779.406250
2026-01-19 07:10:00+00:00,92622.726562
2026-01-19 07:15:00+00:00,92773.390625
2026-01-19 07:20:00+00:00,92865.382812
2026-01-19 07:25:00+00:00,92431.390625
2026-01-19 07:30:00+00:00,92568.609375
2026-01-19 07:35:00+00:00,92696.257812
2026-01-19 07:40:00+00:00,92610.664062
2026-01-19 07:45:00+00:00,92714.109375
2026-01-19 07:50:00+00:00,92690.554688
2026-01-19 07:55:00+00:00,92627.195312
2026-01-19 08:00:00+00:00,92440.515625
2026-01-19 08:05:00+00:00,92671.507812
2026-01-19 08:10:00+00:00,92571.281250
2026-01-19 08:15:00+00:00,92614.039062
2026-01-19 08:20:00+00:00,92709.429688
2026-01-19 08:25:00+00:00,92624.687500
2026-01-19 08:30:00+00:00,92715.109375
2026-01-19 08:35:00+00:00,92631.992188
2026-01-19 08:40:00+00:00,92661.359375
2026-01-19 08:45:00+00:00,92649.468750
2026-01-19 08:50:00+00:00,92598.789062
2026-01-19 08:55:00+00:00,92660.296875
2026-01-19 09:00:00+00:00,92607.406250
2026-01-19 09:05:00+00:00,92512.335938
2026-01-19 09:10:00+00:00,92654.664062
2026-01-19 09:15:00+00:00,92725.578125
2026-01-19 09:20:00+00:00,92947.507812
2026-01-19 09:25:00+00:00,92549.117188
2026-01-19 09:30:00+00:00,92600.953125
2026-01-19 09:35:00+00:00,92731.960938
2026-01-19 09:40:00+00:00,92682.992188
2026-01-19 09:45:00+00:00,92550.460938
2026-01-19 09:50:00+00:00,92825.921875
2026-01-19 09:55:00+00:00,92501.070312
2026-01-19 10:00:00+00:00,92804.679688
2026-01-19 10:05:00+00:00,92543.632812
2026-01-19 10:10:00+00:00,92697.218750
2026-01-19 10:15:00+00:00,92612.859375
2026-01-19 10:20:00+00:00,92436.375000
2026-01-19 10:25:00+00:00,92765.601562
2026-01-19 10:30:00+00:00,92823.492188
2026-01-19 10:35:00+00:00,92758.320312
2026-01-19 10:40:00+00:00,92627.250000
2026-01-19 10:45:00+00:00,92584.328125
2026-01-19 10:50:00+00:00,92708.335938
2026-01-19 10:55:00+00:00,92586.835938
2026-01-19 11:00:00+00:00,92533.460938
2026-01-19 11:05:00+00:00,92689.867188
2026-01-19 11:10:00+00:00,92716.304688
2026-01-19 11:15:00+00:00,92493.781250
2026-01-19 11:20:00+00:00,92668.820312
2026-01-19 11:25:00+00:00,92823.812500
2026-01-19 11:30:00+00:00,92708.343750
2026-01-19 11:35:00+00:00,92585.789062
2026-01-19 11:40:00+00:00,92803.453125
2026-01-19 11:45:00+00:00,92673.507812
2026-01-19 11:50:00+00:00,92696.257812
2026-01-19 11:55:00+00:00,92680.414062
2026-01-19 12:00:00+00:00,92461.250000
2026-01-19 12:05:00+00:00,92595.085938
2026-01-19 12:10:00+00:00,92509.382812
2026-01-19 12:15:00+00:00,92761.890625
2026-01-19 12:20:00+00:00,92650.406250
2026-01-19 12:25:00+00:00,92786.640625
2026-01-19 12:30:00+00:00,92689.500000
2026-01-19 12:35:00+00:00,92872.218750
2026-01-19 12:40:00+00:00,92655.937500
2026-01-19 12:45:00+00:00,92663.101562
2026-01-19 12:50:00+00:00,92867.203125
2026-01-19 12:55:00+00:00,92621.117188
2026-01-19 13:00:00+00:00,92634.460938
2026-01-19 13:05:00+00:00,92733.312500
2026-01-19 13:10:00+00:00,92455.054688
2026-01-19 13:15:00+00:00,92603.203125
2026-01-19 13:20:00+00:00,92557.914062
2026-01-19 13:25:00+00:00,92603.335938
2026-01-19 13:30:00+00:00,92521.585938
2026-01-19 13:35:00+00:00,92647.054688
2026-01-19 13:40:00+00:00,92807.273438
2026-01-19 13:45:00+00:00,92613.109375
2026-01-19 13:50:00+00:00,92571.890625
2026-01-19 13:55:00+00:00,92761.117188
2026-01-19 14:00:00+00:00,92503.906250
2026-01-19 14:05:00+00:00,92649.890625
2026-01-19 14:10:00+00:00,92818.757812
