date,cost_prediction
2026-01-19 04:00:00+00:00,92788.210938
2026-01-19 04:05:00+00:00,92683.195312
2026-01-19 04:10:00+00:00,92610.296875
2026-01-19 04:15:00+00:00,92755.000000
2026-01-19 04:20:00+00:00,92654.164062
2026-01-19 04:25:00+00:00,92665.171875
2026-01-19 04:30:00+00:00,92459.171875
2026-01-19 04:35:00+00:00,92721.484375
2026-01-19 04:40:00+00:00,92761.906250
2026-01-19 04:45:00+00:00,92696.437500
2026-01-19 04:50:00+00:00,92613.562500
2026-01-19 04:55:00+00:00,92760.148438
2026-01-19 05:00:00+00:00,92612.046875
2026-01-19 05:05:00+00:00,92471.992188
2026-01-19 05:10:00+00:00,92761.851562
2026-01-19 05:15:00+00:00,92581.484375
2026-01-19 05:20:00+00:00,92620.515625
2026-01-19 05:25:00+00:00,92519.976562
2026-01-19 05:30:00+00:00,92457.023438
2026-01-19 05:35:00+00:00,92565.093750
2026-01-19 05:40:00+00:00,92721.296875
2026-01-19 05:45:00+00:00,92675.820312
2026-01-19 05:50:00+00:00,92498.703125
2026-01-19 05:55:00+00:00,92568.031250
2026-01-19 06:00:00+00:00,92660.203125
2026-01-19 06:05:00+00:00,92813.296875
2026-01-19 06:10:00+00:00,92520.695312
2026-01-19 06:15:00+00:00,92655.539062
2026-01-19 06:20:00+00:00,92617.070312
2026-01-19 06:25:00+00:00,92828.132812
2026-01-19 06:30:00+00:00,92733.054688
2026-01-19 06:35:00+00:00,92855.140625
2026-01-19 06:40:00+00:00,92916.609375
2026-01-19 06:45:00+00:00,92664.390625
2026-01-19 06:50:00+00:00,92721.765625
2026-01-19 06:55:00+00:00,92543.296875
2026-01-19 07:00:00+00:00,92643.320312
2026-01-19 07:05:00+00:00,92562.437500
2026-01-19 07:10:00+00:00,92772.226562
2026-01-19 07:15:00+00:00,92608.929688
2026-01-19 07:20:00+00:00,92732.226562
2026-01-19 07:25:00+00:00,92490.000000
2026-01-19 07:30:00+00:00,92893.773438
2026-01-19 07:35:00+00:00,92744.093750
2026-01-19 07:40:00+00:00,92698.453125
2026-01-19 07:45:00+00:00,92654.148438
2026-01-19 07:50:00+00:00,92827.484375
2026-01-19 07:55:00+00:00,92646.679688
2026-01-19 08:00:00+00:00,92724.140625
2026-01-19 08:05:00+00:00,92770.085938
2026-01-19 08:10:00+00:00,92625.445312
2026-01-19 08:15:00+00:00,92862.312500
2026-01-19 08:20:00+00:00,92807.656250
2026-01-19 08:25:00+00:00,92563.804688
2026-01-19 08:30:00+00:00,92565.945312
2026-01-19 08:35:00+00:00,92716.429688
2026-01-19 08:40:00+00:00,92777.031250
2026-01-19 08:45:00+00:00,92658.765625
2026-01-19 08:50:00+00:00,92585.734375
2026-01-19 08:55:00+00:00,92736.484375
2026-01-19 09:00:00+00:00,92712.070312
2026-01-19 09:05:00+00:00,92707.343750
2026-01-19 09:10:00+00:00,92736.062500
2026-01-19 09:15:00+00:00,92644.492188
2026-01-19 09:20:00+00:00,92643.625000
2026-01-19 09:25:00+00:00,92769.687500
2026-01-19 09:30:00+00:00,92644.476562
2026-01-19 09:35:00+00:00,92361.328125
2026-01-19 09:40:00+00:00,92803.695312
2026-01-19 09:45:00+00:00,92497.054688
2026-01-19 09:50:00+00:00,92609.976562
2026-01-19 09:55:00+00:00,92576.890625
2026-01-19 10:00:00+00:00,92673.164062
2026-01-19 10:05:00+00:00,92683.742188
2026-01-19 10:10:00+00:00,92782.585938
2026-01-19 10:15:00+00:00,92660.820312
2026-01-19 10:20:00+00:00,92532.242188
2026-01-19 10:25:00+00:00,92550.375000
2026-01-19 10:30:00+00:00,92564.929688
2026-01-19 10:35:00+00:00,92513.093750
2026-01-19 10:40:00+00:00,92722.453125
2026-01-19 10:45:00+00:00,92558.031250
2026-01-19 10:50:00+00:00,92802.226562
2026-01-19 10:55:00+00:00,92635.687500
2026-01-19 11:00:00+00:00,92607.062500
2026-01-19 11:05:00+00:00,92587.914062
2026-01-19 11:10:00+00:00,92693.851562
2026-01-19 11:15:00+00:00,92715.382812
2026-01-19 11:20:00+00:00,92529.664062
2026-01-19 11:25:00+00:00,92433.250000
2026-01-19 11:30:00+00:00,92696.828125
2026-01-19 11:35:00+00:00,92670.750000
2026-01-19 11:40:00+00:00,92688.585938
2026-01-19 11:45:00+00:00,92579.789062
2026-01-19 11:50:00+00:00,92540.421875
2026-01-19 11:55:00+00:00,92463.289062
2026-01-19 12:00:00+00:00,92630.625000
2026-01-19 12:05:00+00:00,92632.273438
2026-01-19 12:10:00+00:00,92388.195312
2026-01-19 12:15:00+00:00,92541.273438
2026-01-19 12:20:00+00:00,92853.554688
2026-01-19 12:25:00+00:00,92671.468750
2026-01-19 12:30:00+00:00,92609.687500
2026-01-19 12:35:00+00:00,92578.140625
2026-01-19 12:40:00+00:00,92702.437500
2026-01-19 12:45:00+00:00,92609.460938
2026-01-19 12:50:00+00:00,92678.453125
2026-01-19 12:55:00+00:00,92535.515625
2026-01-19 13:00:00+00:00,92810.867188
2026-01-19 13:05:00+00:00,92739.812500
2026-01-19 13:10:00+00:00,92668.460938
2026-01-19 13:15:00+00:00,92790.359375
2026-01-19 13:20:00+00:00,92583.898438
2026-01-19 13:25:00+00:00,92642.500000
2026-01-19 13:30:00+00:00,92633.304688
2026-01-19 13:35:00+00:00,92600.281250
2026-01-19 13:40:00+00:00,92721.710938
2026-01-19 13:45:00+00:00,92707.437500
2026-01-19 13:50:00+00:00,92690.539062
