date,cost_prediction
2026-01-19 04:00:00+00:00,92723.875000
2026-01-19 04:05:00+00:00,92770.492188
2026-01-19 04:10:00+00:00,92635.093750
2026-01-19 04:15:00+00:00,92597.695312
2026-01-19 04:20:00+00:00,92789.789062
2026-01-19 04:25:00+00:00,92887.859375
2026-01-19 04:30:00+00:00,92651.773438
2026-01-19 04:35:00+00:00,92720.031250
2026-01-19 04:40:00+00:00,92566.710938
2026-01-19 04:45:00+00:00,92707.671875
2026-01-19 04:50:00+00:00,92558.257812
2026-01-19 04:55:00+00:00,92723.375000
2026-01-19 05:00:00+00:00,92895.046875
2026-01-19 05:05:00+00:00,92401.367188
2026-01-19 05:10:00+00:00,92582.289062
2026-01-19 05:15:00+00:00,92522.773438
2026-01-19 05:20:00+00:00,92707.015625
2026-01-19 05:25:00+00:00,92604.125000
2026-01-19 05:30:00+00:00,92530.351562
2026-01-19 05:35:00+00:00,92629.687500
2026-01-19 05:40:00+00:00,92619.992188
2026-01-19 05:45:00+00:00,92788.812500
2026-01-19 05:50:00+00:00,92725.843750
2026-01-19 05:55:00+00:00,92550.140625
2026-01-19 06:00:00+00:00,92567.375000
2026-01-19 06:05:00+00:00,92599.562500
2026-01-19 06:10:00+00:00,92581.218750
2026-01-19 06:15:00+00:00,92657.945312
2026-01-19 06:20:00+00:00,92884.125000
2026-01-19 06:25:00+00:00,92822.976562
2026-01-19 06:30:00+00:00,92726.804688
2026-01-19 06:35:00+00:00,92684.375000
2026-01-19 06:40:00+00:00,92703.656250
2026-01-19 06:45:00+00:00,92886.343750
2026-01-19 06:50:00+00:00,92843.921875
2026-01-19 06:55:00+00:00,92795.210938
2026-01-19 07:00:00+00:00,92636.867188
2026-01-19 07:05:00+00:00,92867.906250
2026-01-19 07:10:00+00:00,92678.953125
2026-01-19 07:15:00+00:00,92762.695312
2026-01-19 07:20:00+00:00,92812.015625
2026-01-19 07:25:00+00:00,92626.546875
2026-01-19 07:30:00+00:00,92717.546875
2026-01-19 07:35:00+00:00,92552.039062
2026-01-19 07:40:00+00:00,92697.960938
2026-01-19 07:45:00+00:00,92743.234375
2026-01-19 07:50:00+00:00,92622.500000
