date,cost_prediction
2026-01-19 04:00:00+00:00,93075.710938
2026-01-19 04:05:00+00:00,93140.000000
2026-01-19 04:10:00+00:00,93001.789062
2026-01-19 04:15:00+00:00,93079.328125
2026-01-19 04:20:00+00:00,92971.125000
2026-01-19 04:25:00+00:00,92999.562500
2026-01-19 04:30:00+00:00,93066.335938
2026-01-19 04:35:00+00:00,92994.320312
2026-01-19 04:40:00+00:00,93012.335938
2026-01-19 04:45:00+00:00,93102.375000
2026-01-19 04:50:00+00:00,93050.062500
2026-01-19 04:55:00+00:00,93111.718750
2026-01-19 05:00:00+00:00,92976.312500
2026-01-19 05:05:00+00:00,93019.820312
2026-01-19 05:10:00+00:00,92922.953125
2026-01-19 05:15:00+00:00,92798.546875
2026-01-19 05:20:00+00:00,92895.906250
2026-01-19 05:25:00+00:00,92950.375000
2026-01-19 05:30:00+00:00,93039.007812
2026-01-19 05:35:00+00:00,93002.281250
2026-01-19 05:40:00+00:00,93005.203125
2026-01-19 05:45:00+00:00,92992.984375
2026-01-19 05:50:00+00:00,92949.335938
2026-01-19 05:55:00+00:00,92849.445312
2026-01-19 06:00:00+00:00,92980.335938
2026-01-19 06:05:00+00:00,92760.312500
2026-01-19 06:10:00+00:00,92953.031250
2026-01-19 06:15:00+00:00,93016.304688
2026-01-19 06:20:00+00:00,93127.468750
2026-01-19 06:25:00+00:00,92907.515625
2026-01-19 06:30:00+00:00,92878.023438
2026-01-19 06:35:00+00:00,92948.250000
2026-01-19 06:40:00+00:00,92914.085938
2026-01-19 06:45:00+00:00,92950.968750
2026-01-19 06:50:00+00:00,92988.335938
2026-01-19 06:55:00+00:00,93199.781250
2026-01-19 07:00:00+00:00,92835.328125
2026-01-19 07:05:00+00:00,92815.531250
2026-01-19 07:10:00+00:00,93079.875000
2026-01-19 07:15:00+00:00,93079.992188
2026-01-19 07:20:00+00:00,93018.343750
2026-01-19 07:25:00+00:00,93025.468750
2026-01-19 07:30:00+00:00,92970.554688
2026-01-19 07:35:00+00:00,93024.468750
2026-01-19 07:40:00+00:00,93212.070312
2026-01-19 07:45:00+00:00,92942.453125
2026-01-19 07:50:00+00:00,93023.476562
2026-01-19 07:55:00+00:00,92950.617188
2026-01-19 08:00:00+00:00,93161.562500
2026-01-19 08:05:00+00:00,92702.414062
2026-01-19 08:10:00+00:00,92836.976562
2026-01-19 08:15:00+00:00,92998.250000
2026-01-19 08:20:00+00:00,92883.195312
2026-01-19 08:25:00+00:00,92765.445312
2026-01-19 08:30:00+00:00,92859.312500
2026-01-19 08:35:00+00:00,92894.828125
2026-01-19 08:40:00+00:00,92863.218750
2026-01-19 08:45:00+00:00,93035.875000
2026-01-19 08:50:00+00:00,92836.687500
2026-01-19 08:55:00+00:00,92966.273438
2026-01-19 09:00:00+00:00,92934.375000
2026-01-19 09:05:00+00:00,92884.164062
2026-01-19 09:10:00+00:00,92981.500000
2026-01-19 09:15:00+00:00,92830.281250
2026-01-19 09:20:00+00:00,92902.187500
2026-01-19 09:25:00+00:00,93035.953125
2026-01-19 09:30:00+00:00,92901.437500
2026-01-19 09:35:00+00:00,92774.796875
2026-01-19 09:40:00+00:00,93002.804688
2026-01-19 09:45:00+00:00,92838.687500
2026-01-19 09:50:00+00:00,92789.132812
2026-01-19 09:55:00+00:00,93089.953125
2026-01-19 10:00:00+00:00,93003.890625
2026-01-19 10:05:00+00:00,92961.078125
2026-01-19 10:10:00+00:00,93076.406250
2026-01-19 10:15:00+00:00,93092.296875
2026-01-19 10:20:00+00:00,93051.820312
2026-01-19 10:25:00+00:00,92964.671875
2026-01-19 10:30:00+00:00,92957.273438
2026-01-19 10:35:00+00:00,93059.617188
2026-01-19 10:40:00+00:00,92969.734375
2026-01-19 10:45:00+00:00,92791.140625
2026-01-19 10:50:00+00:00,92918.726562
2026-01-19 10:55:00+00:00,92902.156250
2026-01-19 11:00:00+00:00,92842.828125
2026-01-19 11:05:00+00:00,92933.429688
2026-01-19 11:10:00+00:00,92996.968750
2026-01-19 11:15:00+00:00,93106.367188
2026-01-19 11:20:00+00:00,92752.500000
2026-01-19 11:25:00+00:00,92976.085938
2026-01-19 11:30:00+00:00,92845.523438
2026-01-19 11:35:00+00:00,92976.078125
2026-01-19 11:40:00+00:00,93190.625000
2026-01-19 11:45:00+00:00,92798.070312
2026-01-19 11:50:00+00:00,92914.101562
2026-01-19 11:55:00+00:00,93092.546875
2026-01-19 12:00:00+00:00,92928.015625
2026-01-19 12:05:00+00:00,92995.460938
2026-01-19 12:10:00+00:00,92999.070312
2026-01-19 12:15:00+00:00,92961.804688
2026-01-19 12:20:00+00:00,92988.492188
2026-01-19 12:25:00+00:00,92797.632812
2026-01-19 12:30:00+00:00,92787.414062
2026-01-19 12:35:00+00:00,93094.445312
2026-01-19 12:40:00+00:00,92799.453125
2026-01-19 12:45:00+00:00,92952.867188
2026-01-19 12:50:00+00:00,92945.445312
2026-01-19 12:55:00+00:00,92770.617188
2026-01-19 13:00:00+00:00,92724.914062
2026-01-19 13:05:00+00:00,92864.148438
2026-01-19 13:10:00+00:00,92902.757812
2026-01-19 13:15:00+00:00,92792.195312
2026-01-19 13:20:00+00:00,92840.882812
2026-01-19 13:25:00+00:00,92901.171875
2026-01-19 13:30:00+00:00,92812.476562
2026-01-19 13:35:00+00:00,93019.609375
2026-01-19 13:40:00+00:00,92969.718750
2026-01-19 13:45:00+00:00,92873.382812
2026-01-19 13:50:00+00:00,92969.578125
2026-01-19 13:55:00+00:00,93100.140625
2026-01-19 14:00:00+00:00,92978.898438
2026-01-19 14:05:00+00:00,93017.617188
2026-01-19 14:10:00+00:00,92879.468750
2026-01-19 14:15:00+00:00,92940.898438
