date,cost_prediction
2026-01-19 04:00:00+00:00,92653.148438
2026-01-19 04:05:00+00:00,92674.007812
2026-01-19 04:10:00+00:00,92598.765625
2026-01-19 04:15:00+00:00,92696.507812
2026-01-19 04:20:00+00:00,92657.273438
2026-01-19 04:25:00+00:00,92583.554688
2026-01-19 04:30:00+00:00,92668.867188
2026-01-19 04:35:00+00:00,92542.929688
2026-01-19 04:40:00+00:00,92627.781250
2026-01-19 04:45:00+00:00,92497.398438
2026-01-19 04:50:00+00:00,92627.125000
2026-01-19 04:55:00+00:00,92454.796875
2026-01-19 05:00:00+00:00,92929.851562
2026-01-19 05:05:00+00:00,92624.101562
2026-01-19 05:10:00+00:00,92525.625000
2026-01-19 05:15:00+00:00,92475.296875
2026-01-19 05:20:00+00:00,92697.164062
2026-01-19 05:25:00+00:00,92615.195312
2026-01-19 05:30:00+00:00,92560.171875
2026-01-19 05:35:00+00:00,92479.546875
2026-01-19 05:40:00+00:00,92597.765625
2026-01-19 05:45:00+00:00,92646.085938
2026-01-19 05:50:00+00:00,92704.445312
2026-01-19 05:55:00+00:00,92775.210938
2026-01-19 06:00:00+00:00,92641.398438
2026-01-19 06:05:00+00:00,92714.953125
2026-01-19 06:10:00+00:00,92650.906250
2026-01-19 06:15:00+00:00,92571.476562
2026-01-19 06:20:00+00:00,92635.671875
2026-01-19 06:25:00+00:00,92700.437500
2026-01-19 06:30:00+00:00,92680.523438
2026-01-19 06:35:00+00:00,92665.492188
2026-01-19 06:40:00+00:00,92773.257812
2026-01-19 06:45:00+00:00,92617.039062
2026-01-19 06:50:00+00:00,92432.148438
2026-01-19 06:55:00+00:00,92652.453125
2026-01-19 07:00:00+00:00,92581.132812
2026-01-19 07:05:00+00:00,92647.492188
2026-01-19 07:10:00+00:00,92722.304688
2026-01-19 07:15:00+00:00,92691.359375
2026-01-19 07:20:00+00:00,92578.015625
2026-01-19 07:25:00+00:00,92708.851562
2026-01-19 07:30:00+00:00,92509.640625
2026-01-19 07:35:00+00:00,92687.695312
2026-01-19 07:40:00+00:00,92653.687500
2026-01-19 07:45:00+00:00,92432.468750
2026-01-19 07:50:00+00:00,92747.945312
2026-01-19 07:55:00+00:00,92714.789062
2026-01-19 08:00:00+00:00,92582.390625
2026-01-19 08:05:00+00:00,92612.843750
2026-01-19 08:10:00+00:00,92518.078125
2026-01-19 08:15:00+00:00,92496.703125
2026-01-19 08:20:00+00:00,92729.492188
2026-01-19 08:25:00+00:00,92667.218750
