date,cost_prediction
2026-01-19 04:00:00+00:00,92678.367188
2026-01-19 04:05:00+00:00,92616.046875
2026-01-19 04:10:00+00:00,92802.117188
2026-01-19 04:15:00+00:00,92525.796875
2026-01-19 04:20:00+00:00,92822.023438
2026-01-19 04:25:00+00:00,92762.093750
2026-01-19 04:30:00+00:00,92690.937500
2026-01-19 04:35:00+00:00,92614.671875
2026-01-19 04:40:00+00:00,92625.968750
2026-01-19 04:45:00+00:00,92585.210938
2026-01-19 04:50:00+00:00,92642.921875
2026-01-19 04:55:00+00:00,92789.789062
2026-01-19 05:00:00+00:00,92530.015625
2026-01-19 05:05:00+00:00,92727.796875
2026-01-19 05:10:00+00:00,92623.210938
2026-01-19 05:15:00+00:00,92670.617188
2026-01-19 05:20:00+00:00,92793.695312
2026-01-19 05:25:00+00:00,92892.375000
2026-01-19 05:30:00+00:00,92682.773438
2026-01-19 05:35:00+00:00,92858.679688
2026-01-19 05:40:00+00:00,92578.023438
2026-01-19 05:45:00+00:00,92579.960938
2026-01-19 05:50:00+00:00,92383.335938
2026-01-19 05:55:00+00:00,92592.796875
2026-01-19 06:00:00+00:00,92784.335938
2026-01-19 06:05:00+00:00,92724.664062
2026-01-19 06:10:00+00:00,92671.210938
2026-01-19 06:15:00+00:00,92542.046875
2026-01-19 06:20:00+00:00,92790.031250
2026-01-19 06:25:00+00:00,92558.789062
2026-01-19 06:30:00+00:00,92818.687500
2026-01-19 06:35:00+00:00,92810.070312
2026-01-19 06:40:00+00:00,92702.882812
2026-01-19 06:45:00+00:00,92563.437500
2026-01-19 06:50:00+00:00,92686.250000
2026-01-19 06:55:00+00:00,92833.359375
2026-01-19 07:00:00+00:00,92655.218750
2026-01-19 07:05:00+00:00,92618.851562
2026-01-19 07:10:00+00:00,92814.671875
2026-01-19 07:15:00+00:00,92702.109375
2026-01-19 07:20:00+00:00,92722.914062
2026-01-19 07:25:00+00:00,92532.156250
2026-01-19 07:30:00+00:00,92716.851562
2026-01-19 07:35:00+00:00,92606.687500
2026-01-19 07:40:00+00:00,92764.687500
2026-01-19 07:45:00+00:00,92636.140625
2026-01-19 07:50:00+00:00,92800.093750
2026-01-19 07:55:00+00:00,92706.539062
2026-01-19 08:00:00+00:00,92633.765625
2026-01-19 08:05:00+00:00,93029.875000
2026-01-19 08:10:00+00:00,92643.671875
2026-01-19 08:15:00+00:00,92680.789062
2026-01-19 08:20:00+00:00,92740.539062
2026-01-19 08:25:00+00:00,92658.343750
2026-01-19 08:30:00+00:00,92409.976562
2026-01-19 08:35:00+00:00,92734.445312
2026-01-19 08:40:00+00:00,92953.851562
2026-01-19 08:45:00+00:00,92824.710938
2026-01-19 08:50:00+00:00,92935.531250
2026-01-19 08:55:00+00:00,92791.515625
2026-01-19 09:00:00+00:00,92693.726562
2026-01-19 09:05:00+00:00,92714.554688
2026-01-19 09:10:00+00:00,92660.421875
2026-01-19 09:15:00+00:00,92704.273438
2026-01-19 09:20:00+00:00,92489.070312
2026-01-19 09:25:00+00:00,92496.031250
