date,cost_prediction
2026-01-19 04:00:00+00:00,89756.414062
2026-01-19 04:05:00+00:00,90190.703125
2026-01-19 04:10:00+00:00,90287.492188
2026-01-19 04:15:00+00:00,90048.164062
2026-01-19 04:20:00+00:00,89914.148438
2026-01-19 04:25:00+00:00,90105.820312
2026-01-19 04:30:00+00:00,90058.515625
2026-01-19 04:35:00+00:00,90270.117188
2026-01-19 04:40:00+00:00,89920.648438
2026-01-19 04:45:00+00:00,89912.578125
2026-01-19 04:50:00+00:00,90032.820312
2026-01-19 04:55:00+00:00,89936.140625
2026-01-19 05:00:00+00:00,90197.984375
2026-01-19 05:05:00+00:00,90240.929688
2026-01-19 05:10:00+00:00,89834.585938
2026-01-19 05:15:00+00:00,90059.671875
2026-01-19 05:20:00+00:00,90150.304688
2026-01-19 05:25:00+00:00,89946.156250
2026-01-19 05:30:00+00:00,89888.015625
2026-01-19 05:35:00+00:00,90096.085938
2026-01-19 05:40:00+00:00,90224.632812
2026-01-19 05:45:00+00:00,90048.312500
2026-01-19 05:50:00+00:00,89697.382812
2026-01-19 05:55:00+00:00,89974.242188
2026-01-19 06:00:00+00:00,89903.578125
2026-01-19 06:05:00+00:00,90163.585938
2026-01-19 06:10:00+00:00,90161.804688
2026-01-19 06:15:00+00:00,90104.078125
2026-01-19 06:20:00+00:00,90125.867188
2026-01-19 06:25:00+00:00,89762.312500
2026-01-19 06:30:00+00:00,90220.742188
2026-01-19 06:35:00+00:00,90123.015625
2026-01-19 06:40:00+00:00,90010.539062
2026-01-19 06:45:00+00:00,89927.500000
2026-01-19 06:50:00+00:00,90173.625000
2026-01-19 06:55:00+00:00,89895.125000
2026-01-19 07:00:00+00:00,90100.335938
2026-01-19 07:05:00+00:00,90057.500000
2026-01-19 07:10:00+00:00,90174.773438
2026-01-19 07:15:00+00:00,90179.171875
2026-01-19 07:20:00+00:00,90406.210938
2026-01-19 07:25:00+00:00,90056.265625
2026-01-19 07:30:00+00:00,90100.742188
2026-01-19 07:35:00+00:00,90059.218750
2026-01-19 07:40:00+00:00,90179.664062
2026-01-19 07:45:00+00:00,90055.601562
2026-01-19 07:50:00+00:00,90191.507812
2026-01-19 07:55:00+00:00,90207.265625
2026-01-19 08:00:00+00:00,90221.226562
2026-01-19 08:05:00+00:00,90183.507812
2026-01-19 08:10:00+00:00,90042.898438
2026-01-19 08:15:00+00:00,89977.648438
2026-01-19 08:20:00+00:00,90227.648438
2026-01-19 08:25:00+00:00,89872.132812
2026-01-19 08:30:00+00:00,90028.000000
2026-01-19 08:35:00+00:00,89945.468750
2026-01-19 08:40:00+00:00,90018.062500
2026-01-19 08:45:00+00:00,90278.125000
2026-01-19 08:50:00+00:00,89836.031250
2026-01-19 08:55:00+00:00,90146.125000
2026-01-19 09:00:00+00:00,90003.070312
2026-01-19 09:05:00+00:00,89901.312500
2026-01-19 09:10:00+00:00,89958.351562
2026-01-19 09:15:00+00:00,89872.726562
2026-01-19 09:20:00+00:00,90067.039062
2026-01-19 09:25:00+00:00,90120.953125
2026-01-19 09:30:00+00:00,90041.289062
2026-01-19 09:35:00+00:00,90153.476562
2026-01-19 09:40:00+00:00,90115.234375
2026-01-19 09:45:00+00:00,90045.031250
2026-01-19 09:50:00+00:00,90263.085938
2026-01-19 09:55:00+00:00,90062.109375
2026-01-19 10:00:00+00:00,90087.984375
2026-01-19 10:05:00+00:00,89949.968750
2026-01-19 10:10:00+00:00,89875.453125
2026-01-19 10:15:00+00:00,90158.468750
2026-01-19 10:20:00+00:00,90114.054688
2026-01-19 10:25:00+00:00,90034.335938
2026-01-19 10:30:00+00:00,90033.429688
2026-01-19 10:35:00+00:00,89878.343750
2026-01-19 10:40:00+00:00,90197.007812
2026-01-19 10:45:00+00:00,89993.507812
2026-01-19 10:50:00+00:00,89967.945312
2026-01-19 10:55:00+00:00,90119.882812
2026-01-19 11:00:00+00:00,89883.617188
2026-01-19 11:05:00+00:00,89969.632812
2026-01-19 11:10:00+00:00,90118.625000
2026-01-19 11:15:00+00:00,90198.132812
2026-01-19 11:20:00+00:00,90106.265625
2026-01-19 11:25:00+00:00,90129.953125
2026-01-19 11:30:00+00:00,90262.609375
2026-01-19 11:35:00+00:00,90078.828125
2026-01-19 11:40:00+00:00,89971.546875
2026-01-19 11:45:00+00:00,89982.867188
2026-01-19 11:50:00+00:00,90230.015625
2026-01-19 11:55:00+00:00,89851.539062
2026-01-19 12:00:00+00:00,90076.937500
2026-01-19 12:05:00+00:00,90088.726562
